lemmas,lemmas_text,yapici_mi
"['aycell', 'çalış']",aycell çalış,0
"['berbat', 'faril', 'para', 'çocuk', 'oyncag', 'sakin', 'bulasmayin']",berbat faril para çocuk oyncag sakin bulasmayin,0
"['önce', 'puan', 'aycell', 'yeter', 'kadar', 'puan', 'diğer', 'alım', 'çevir', 'fakat', 'iki', 'defa', 'puan', 'kullan', 'hal', 'sistem', 'gözük', 'sistem', 'canlı', 'dur', 'şikayet', 'iki', 'defa', 'çözüm', 'merkez', 'celil', 'sonra', 'başka', 'arkadaş', 'dönüş', 'türlü', 'kafa', 'çalış', 'konu', 'uzman', 'söyle', 'şekil', 'bile', 'lira', 'kupon', 'biz', 'yok']",önce puan aycell yeter kadar puan diğer alım çevir fakat iki defa puan kullan hal sistem gözük sistem canlı dur şikayet iki defa çözüm merkez celil sonra başka arkadaş dönüş türlü kafa çalış konu uzman söyle şekil bile lira kupon biz yok,0
['verso'],verso,0
"['kadar', 'kötü', 'sanal', 'kart', 'fikir', 'güzel', 'fakat', 'fatura', 'öde', 'başka', 'işlem', 'boşuna', 'para', 'git', 'kadar']",kadar kötü sanal kart fikir güzel fakat fatura öde başka işlem boşuna para git kadar,1
"['puan', 'artık', 'yüksel']",puan artık yüksel,0
"['siz', 'sev', 'kullan', 'siz', 'yakış', 'kart', 'kes', 'sonra', 'fon', 'artık', 'başka', 'kart', 'kullan', 'aycell', 'puan', 'kadar', 'saçma']",siz sev kullan siz yakış kart kes sonra fon artık başka kart kullan aycell puan kadar saçma,1
"['kullan', 'hal', 'gün', 'ara', 'güncelle', 'iste', 'giriş', 'yağ', 'güncelle', 'indirilemiyorkısaca', 'para', 'öde', 'sıkıntı', 'çek', 'iste', 'kullan']",kullan hal gün ara güncelle iste giriş yağ güncelle indirilemiyorkısaca para öde sıkıntı çek iste kullan,1
"['çalış', 'zaman', 'var']",çalış zaman var,0
"['yaş', 'altı', 'yatırım']",yaş altı yatırım,0
"['yara', 'sürekli', 'sonra', 'dene', 'uyarisiyla', 'karşılaş', 'yükle', 'sil']",yara sürekli sonra dene uyarisiyla karşılaş yükle sil,0
"['gedik', 'elektrik', 'yatramiyorum', 'sistem', 'cikmiyo']",gedik elektrik yatramiyorum sistem cikmiyo,1
"['keşke', 'giriş', 'lanet', 'yüz', 'mobil', 'öde']",keşke giriş lanet yüz mobil öde,1
"['berbat', 'yıldız', 'bile']",berbat yıldız bile,0
"['rezalet', 'transfer']",rezalet transfer,0
"['aynı', 'sorun', 'hala', 'var', 'güncel', 'getir', 'iyi', 'bide', 'i̇nternet', 'paket', 'harca', 'kaldır']",aynı sorun hala var güncel getir iyi bide i̇nternet paket harca kaldır,1
"['hesap', 'kalan', 'var', 'türlü', 'çek', 'para', 'mil', 'piyango', 'site', 'işlem', 'ücret', 'kart', 'değil', 'kart', 'aktar', 'bakiye', 'çalış', 'turkcell', 'düpedüz', 'resmi', 'belge', 'dolandırıcı', 'tahatdüt', 'bit', 'hat', 'iptal', 'yıl', 'beri', 'aynı', 'numara', 'hat', 'kullan', 'iptal', 'artık', 'zaman', 'para', 'öde', 'tahatdüt', 'bit', 'kadar', 'kurtar', 'siz']",hesap kalan var türlü çek para mil piyango site işlem ücret kart değil kart aktar bakiye çalış turkcell düpedüz resmi belge dolandırıcı tahatdüt bit hat iptal yıl beri aynı numara hat kullan iptal artık zaman para öde tahatdüt bit kadar kurtar siz,0
"['şifre', 'unut', 'eposta', 'adres', 'yeni', 'şifre', 'gönder', 'gönder', 'yardımcı', 'olumurmusunuz']",şifre unut eposta adres yeni şifre gönder gönder yardımcı olumurmusunuz,0
"['can', 'cehennem', 'itibar', 'i̇stanbul', 'kart', 'izin', 'bilgi', 'dış', 'toplam', 'lira', 'yükle', 'müşteri', 'hizmet', 'ara', 'geri', 'öde', 'imkan', 'söyle', 'müşteri', 'hak', 'savun', 'yol', 'göster', 'bak', 'mesaj', 'gör', 'geri', 'dön', 'hak', 'öde']",can cehennem itibar i̇stanbul kart izin bilgi dış toplam lira yükle müşteri hizmet ara geri öde imkan söyle müşteri hak savun yol göster bak mesaj gör geri dön hak öde,0
"['i̇nternet', 'paha']",i̇nternet paha,0
"['puan', 'birik', 'google', 'olay', 'kupon', 'şimdi', 'puan', 'sadece', 'i̇nternet', 'görün', 'kaldır', 'kupon']",puan birik google olay kupon şimdi puan sadece i̇nternet görün kaldır kupon,0
['gir'],gir,0
"['yükle', 'limit', 'koy', 'işlem', 'ücret', 'koy']",yükle limit koy işlem ücret koy,0
"['posta', 'dogrulamasi', 'dur', 'eposta', 'adres', 'doğrula', 'filan']",posta dogrulamasi dur eposta adres doğrula filan,1
"['para', 'yatır', 'sorun', 'bulasmayin', 'ayrıca', 'yorum', 'sil']",para yatır sorun bulasmayin ayrıca yorum sil,0
"['hafta', 'salla', 'kazan', 'puan', 'hafta', 'aynı', 'insan', 'değişik', 'puan', 'fazla', 'gerekli']",hafta salla kazan puan hafta aynı insan değişik puan fazla gerekli,0
"['kere', 'aycell', 'zorba']",kere aycell zorba,0
"['link', 'olay', 'haber', 'para', 'çek', 'turkcell', 'yakismiyan', 'durum']",link olay haber para çek turkcell yakismiyan durum,0
"['sürekli', 'kapa', 'halt', 'yara', 'yok']",sürekli kapa halt yara yok,0
"['tur', 'telekom']",tur telekom,0
"['lira', 'yaklaşık', 'kuruş', 'ney', 'zaman', 'kullan', 'komisyon', 'çözüm', 'bul', 'aycell', 'bırak']",lira yaklaşık kuruş ney zaman kullan komisyon çözüm bul aycell bırak,1
"['böyle', 'aycell', 'heaabima', 'para', 'ilan', 'ima', 'transfer', 'iste', 'para', 'hesap', 'dik', 'banka', 'hesap']",böyle aycell heaabima para ilan ima transfer iste para hesap dik banka hesap,0
"['aycell', 'tat', 'tuz', 'kaç']",aycell tat tuz kaç,0
"['giriş', 'yine', 'giriş', 'posta', 'şifre', 'deyiş', 'diş', 'tik', 'posta', 'saçma', 'saban', 'yabmayin', 'arkadaş']",giriş yine giriş posta şifre deyiş diş tik posta saçma saban yabmayin arkadaş,0
"['puanlarimi', 'kullan']",puanlarimi kullan,0
"['hayat', 'kadar', 'saçma', 'gör', 'şifre', 'unut', 'şifre', 'yeni', 'saçmalık']",hayat kadar saçma gör şifre unut şifre yeni saçmalık,0
"['ister', 'optimizasyon', 'ister', 'işlev', 'açı', 'rezalet', 'içersi', 'birçok', 'içer', 'sadece', 'para', 'kazan', 'herhalde', 'örnek', 'i̇nternet', 'kazan', 'kart', 'para', 'sonradan', 'lazım', 'malum', 'yer', 'geç', 'kart', 'kendi', ""i̇van'ıma"", 'çek', 'kaç', 'lira', 'yok', 'ana', 'sat', 'para', 'gönder', 'kısım', 'full', 'hata', 'baş', 'sil', 'çalış', 'eksik', 'yaz', 'ilan', 'sonra', 'hata', 'salak', 'saçma', 'aycell', 'yerine', 'ininal', 'tos', 'öner', 'iyi']",ister optimizasyon ister işlev açı rezalet içersi birçok içer sadece para kazan herhalde örnek i̇nternet kazan kart para sonradan lazım malum yer geç kart kendi i̇van'ıma çek kaç lira yok ana sat para gönder kısım full hata baş sil çalış eksik yaz ilan sonra hata salak saçma aycell yerine ininal tos öner iyi,1
"['fatura', 'odie', 'hiçbir', 'sıkıntı', 'gecik', 'rağmen', 'limit', 'önce', 'kullan', 'sıkıntı', 'yok', 'sil', 'tekrar', 'limit', 'hiçbir', 'problem', 'yok', 'anlayacaginiz', 'problem', 'var', 'kimse', 'çözüm', 'yok', 'yorum', 'baktiginizda', 'kimse', 'sorun', 'boz', 'net', 'sekil', 'söyle', 'problem', 'yaşa']",fatura odie hiçbir sıkıntı gecik rağmen limit önce kullan sıkıntı yok sil tekrar limit hiçbir problem yok anlayacaginiz problem var kimse çözüm yok yorum baktiginizda kimse sorun boz net sekil söyle problem yaşa,1
"['acilmiyor', 'kart', 'yok', 'bozuk']",acilmiyor kart yok bozuk,0
"['aloooo', 'calismiyor', 'ati', 'giremiyorumuygulamaya', 'kusurabakmayin', 'lanet']",aloooo calismiyor ati giremiyorumuygulamaya kusurabakmayin lanet,0
"['eskiden', 'rahat', 'giriş', 'mobil', 'verim', 'kapa', 'girl']",eskiden rahat giriş mobil verim kapa girl,0
"['tam', 'para', 'tuzak', 'dolandırıcı', 'sistem', 'fayda', 'servis', 'göz', 'boya', 'sahtekar', 'servis', 'para', 'çal', 'uzak', 'dur']",tam para tuzak dolandırıcı sistem fayda servis göz boya sahtekar servis para çal uzak dur,0
"['siz', 'ulaş', 'mail', 'para', 'orta', 'yok', 'dönüş', 'sadece', 'incele', 'aşama', 'mil']",siz ulaş mail para orta yok dönüş sadece incele aşama mil,0
"['detay', 'yok']",detay yok,0
"['hayat', 'kadar', 'kötü', 'gör']",hayat kadar kötü gör,0
"['cani', 'iste']",cani iste,0
"['parti', 'ekle', 'lütfen', 'yar']",parti ekle lütfen yar,0
"['giriş', 'wifi', 'kapa', 'deyip', 'kapa', 'i̇nternet', 'hata', 'gerzek', 'zorla', 'turkcell', 'i̇nternet', 'kullan', 'çaba', 'zaten', 'i̇nternet', 'paket']",giriş wifi kapa deyip kapa i̇nternet hata gerzek zorla turkcell i̇nternet kullan çaba zaten i̇nternet paket,0
"['uğraş', 'fazla', 'işlem', 'gerek']",uğraş fazla işlem gerek,0
"['tur', 'acilmiyor', 'işlem', 'gercek']",tur acilmiyor işlem gercek,0
['iyi'],iyi,0
"['allah', 'aşk', 'don', 'bird', 'kredi', 'sorgula', 'kullan', 'kredi', 'limit', 'yok', 'kredi']",allah aşk don bird kredi sorgula kullan kredi limit yok kredi,0
"['salla', 'kazan', 'sonra', 'ikinci', 'hediye', 'olapark', 'aycell', 'salla', 'topla', 'puan']",salla kazan sonra ikinci hediye olapark aycell salla topla puan,0
"['oyun', 'sat', 'başarı', 'yara']",oyun sat başarı yara,0
"['evvel', 'kart', 'kredi', 'varit', 'aksat', 'otomatik', 'git', 'son', 'kart', 'gelmektedirneden', 'böyle', 'kredi', 'dost', 'lütfen', 'kredi', 'iste', 'memnun', 'yaya', 'dirlik']",evvel kart kredi varit aksat otomatik git son kart gelmektedirneden böyle kredi dost lütfen kredi iste memnun yaya dirlik,1
"['beyaz', 'ekran', 'basladim', 'cal', 'kartida', 'cekiyolar', 'işlem', 'yapmasanizda']",beyaz ekran basladim cal kartida cekiyolar işlem yapmasanizda,0
['efsioooooo'],efsioooooo,0
"['aycell', 'hediye', 'kampanya', 'katıl', 'şart', 'yerine', 'getir', 'rağmen', 'hala', 'kupon', 'falan', 'ulaş', 'üstelik', 'harca', 'sonra', 'kazan', 'ödül', 'harca', 'hatta', 'yükle', 'yazma', 'rağmen', 'sorun', 'çöz', 'memnun']",aycell hediye kampanya katıl şart yerine getir rağmen hala kupon falan ulaş üstelik harca sonra kazan ödül harca hatta yükle yazma rağmen sorun çöz memnun,0
"['salakazandakıtl', 'aycell', 'hediye', 'sanal', 'kartayüklemir']",salakazandakıtl aycell hediye sanal kartayüklemir,0
"['hesap', 'sil']",hesap sil,0
"['puan', 'birik', 'google', 'olay', 'kod', 'kaybol']",puan birik google olay kod kaybol,0
"['hesap', 'bloke', 'koy', 'gir', 'içeri', 'biz', 'ula', 'cevap', 'lazio', 'zaten', 'girişim', 'kisitlanmis', 'içeri', 'siz', 'ulasacagiz', 'bilgi', 'verebilirmisiniz', 'tamamen', 'saçmalık', 'hadi', 'yorum', 'alt', 'biz', 'ulaş']",hesap bloke koy gir içeri biz ula cevap lazio zaten girişim kisitlanmis içeri siz ulasacagiz bilgi verebilirmisiniz tamamen saçmalık hadi yorum alt biz ulaş,0
"['aycell', 'banka', 'hesap', 'doğrula', 'iste', 'kullan', 'banka', 'anlaş', 'banka', 'ara', 'yer', 'halkbank', 'anlaş', 'kart', 'dogrulayabilecegim', 'lütfen', 'zaman', 'yıldız', 'vericegim', 'tesekurler']",aycell banka hesap doğrula iste kullan banka anlaş banka ara yer halkbank anlaş kart dogrulayabilecegim lütfen zaman yıldız vericegim tesekurler,0
"['keşke', 'fatura', 'yansı', 'şekil', 'harca']",keşke fatura yansı şekil harca,0
"['sürekli', 'güncelle']",sürekli güncelle,0
['mecburen'],mecburen,0
"['sakın', 'bulaş']",sakın bulaş,0
"['puan', 'alamiyirum']",puan alamiyirum,0
"['düzmece', 'geçen', 'gün', 'ilk', 'fatura', 'öde', 'puan', 'bile', 'kandiriyorlar']",düzmece geçen gün ilk fatura öde puan bile kandiriyorlar,0
"['şifre', 'posta', 'yanlış', 'hemen', 'yardım', 'düzel']",şifre posta yanlış hemen yardım düzel,1
"['sakın', 'kullan', 'alısveris', 'iyi', 'iade', 'asla', 'bakiye', 'geri', 'yansitmiyorlar', 'mail', 'ustunç', 'mail', 'dekont', 'yolla', 'yine', 'iade', 'bddk', 'bil', 'artık', 'kal']",sakın kullan alısveris iyi iade asla bakiye geri yansitmiyorlar mail ustunç mail dekont yolla yine iade bddk bil artık kal,0
"['gün', 'muhatap', 'bul', 'kendi', 'para', 'aycell', 'hesap', 'aktar', 'para', 'orta', 'yok', 'geç', 'gün', 'devir', 'süre', 'inan', 'şikayet', 'var', 'para', 'peş', 'insan', 'milyar', 'bekle', 'aycell', 'açıkla', 'dahi', 'müşteri', 'siz', 'gerekli', 'bilgi', 'gün', 'ilet', 'hala', 'aynı', 'şekil', 'sorun', 'çöz']",gün muhatap bul kendi para aycell hesap aktar para orta yok geç gün devir süre inan şikayet var para peş insan milyar bekle aycell açıkla dahi müşteri siz gerekli bilgi gün ilet hala aynı şekil sorun çöz,1
"['kötü', 'turkcell', 'zorunlu']",kötü turkcell zorunlu,0
"['önceleri', 'güzel', 'şimdi', 'memnun', 'değil']",önceleri güzel şimdi memnun değil,0
"['fatura', 'öde', 'kısım', 'gir']",fatura öde kısım gir,0
"['i̇ldiz', 'bile', 'fazla', 'soyguncu', 'turkcell', 'hep', 'hırsız', 'fahiş', 'fiyat']",i̇ldiz bile fazla soyguncu turkcell hep hırsız fahiş fiyat,0
"['lanet', 'aycell', 'para', 'yıl']",lanet aycell para yıl,0
"['aycell', 'lira', 'şimdi', 'para', 'kullan', 'hemen', 'fatura', 'ekle', 'kullan', 'sonra', 'kıymet', 'yok', 'yazık']",aycell lira şimdi para kullan hemen fatura ekle kullan sonra kıymet yok yazık,0
"['para', 'yatır', 'serbest', 'ekmek', 'yasak', 'böyle', 'gün', 'yatirdigim', 'para', 'çek', 'yem', 'defalarca', 'ara', 'bil', 'hal', 'kesinlikle', 'yatırım', 'kısım', 'kullan', 'para']",para yatır serbest ekmek yasak böyle gün yatirdigim para çek yem defalarca ara bil hal kesinlikle yatırım kısım kullan para,1
"['site', 'gir', 'toplam', 'şifre', 'bkliyoz', 'var', 'git', 'kapa', 'i̇ndi̇ren', 'pişman']",site gir toplam şifre bkliyoz var git kapa i̇ndi̇ren pişman,0
"['rezalet', 'sürekli', 'hata', 'dur', 'kart', 'alışveriş', 'rezalet', 'gerçekten', 'mail', 'dönüş', 'lakin', 'hala', 'düzel']",rezalet sürekli hata dur kart alışveriş rezalet gerçekten mail dönüş lakin hala düzel,0
"['puan', 'kendiliğinden', 'sil', 'saçma', 'millet', 'kan', 'puanlarinizla', 'kadar', 'i̇nternet', 'sonra', 'topla', 'puan', 'var', 'kendiliğinden', 'sil']",puan kendiliğinden sil saçma millet kan puanlarinizla kadar i̇nternet sonra topla puan var kendiliğinden sil,0
"['gün', 'kendi', 'hesap', 'yeni', 'para', 'transfer', 'para', 'yok', 'hala', 'oyala', 'incele', 'şahsi', 'para', 'kullan', 'yasal', 'etik', 'iletişim', 'geç', 'kayıt', 'değer', 'cevap', 'incele', 'incele', 'para', 'iade']",gün kendi hesap yeni para transfer para yok hala oyala incele şahsi para kullan yasal etik iletişim geç kayıt değer cevap incele incele para iade,0
"['kulanacam', 'yardım', 'sevin']",kulanacam yardım sevin,0
"['limit', 'hal', 'yetersiz', 'limit', 'yatirdigim', 'hal', 'limit', 'bin', 'yüz', 'düş', 'anla', 'gerçekten', 'yazık']",limit hal yetersiz limit yatirdigim hal limit bin yüz düş anla gerçekten yazık,1
"['yeni', 'kayıt', 'şifre', 'girdi', 'şifre', 'tekrar', 'gir', 'gir', 'aycell', 'dur']",yeni kayıt şifre girdi şifre tekrar gir gir aycell dur,0
"['tam', 'gün', 'önce', 'yüklem', 'hala', 'hesap', 'yansı', 'mail', 'gönder', 'dekont', 'beraber', 'hala', 'yanıt', 'var', 'hesap', 'para', 'yansı', 'kadar', 'uzun', 'sür', 'tamamen', 'saçmalık', 'düzel', 'kadar', 'kullan', 'öner', 'uzak', 'dur']",tam gün önce yüklem hala hesap yansı mail gönder dekont beraber hala yanıt var hesap para yansı kadar uzun sür tamamen saçmalık düzel kadar kullan öner uzak dur,0
"['şifre', 'bloke', 'giriş', 'iletişim', 'numara', 'ara', 'şifre', 'bloke', 'telefon', 'kapa', 'şifre', 'yenile', 'link', 'tıkla', 'ekran', 'harf', 'gir', 'ekran', 'harf', 'yok', 'siyah', 'ekran']",şifre bloke giriş iletişim numara ara şifre bloke telefon kapa şifre yenile link tıkla ekran harf gir ekran harf yok siyah ekran,0
"['arkadaş', 'davet', 'hediye', 'puan', 'kod', 'hata', 'rezil']",arkadaş davet hediye puan kod hata rezil,0
"['hediye', 'para', 'fatura', 'yansı']",hediye para fatura yansı,0
"['şifre', 'unut', 'seçenek', 'seç', 'kurtar', 'kod', 'iste', 'kurtar', 'kod', 'bil', 'sistem', 'gir', 'kontrol', 'dış', 'öde', 'hak', 'bedel', 'iptal', 'caba']",şifre unut seçenek seç kurtar kod iste kurtar kod bil sistem gir kontrol dış öde hak bedel iptal caba,0
"['salla', 'kazan', 'aycell', 'tam', 'program', 'yorum', 'gör', 'içim', 'git', 'öğrenci', 'adam', 'hayal', 'oyna', 'turkcell', 'kına', 'sen', 'artık', 'hayat', 'yer', 'yok', 'fatura', 'mahut', 'bit', 'bit', 'siz', 'uzaklasicam', 'somuremiyceksiniz', 'artık']",salla kazan aycell tam program yorum gör içim git öğrenci adam hayal oyna turkcell kına sen artık hayat yer yok fatura mahut bit bit siz uzaklasicam somuremiyceksiniz artık,0
"['puan', 'hafta', 'geri', 'boşuna', 'zaman', 'öyle', 'özellik', 'kal']",puan hafta geri boşuna zaman öyle özellik kal,0
"['dolandıricilik', 'yaa']",dolandıricilik yaa,0
"['dur', 'yer', 'i̇nternet', 'paket', 'yüklrnek', 'yükle', 'çal', 'telem', 'izin', 'şekil', 'tam', 'hırsız', 'haram', 'zıkkım', 'inşallah', 'ilk', 'fırsat', 'başka', 'abone', 'gezi', 'nefret', 'soyguncu', 'trük']",dur yer i̇nternet paket yüklrnek yükle çal telem izin şekil tam hırsız haram zıkkım inşallah ilk fırsat başka abone gezi nefret soyguncu trük,0
['iyi'],iyi,0
"['sakin', 'yükle', 'para', 'yükle', 'herdefasinda', 'aynı', 'dümen', 'para', 'yok', 'mail', 'müşteri', 'hizmet', 'yok', 'söyle', 'yok', 'böyle', 'para', 'üzeri', 'yat', 'calisiyorlar', 'kaç', 'gün', 'hala', 'para', 'iade', 'gerek']",sakin yükle para yükle herdefasinda aynı dümen para yok mail müşteri hizmet yok söyle yok böyle para üzeri yat calisiyorlar kaç gün hala para iade gerek,0
"['para', 'transfer', 'yapabiliriyorum', 'para', 'çek', 'sorun', 'kaldır']",para transfer yapabiliriyorum para çek sorun kaldır,1
"['düzgün', 'çalış', 'sil', 'tekrar', 'yükle', 'iste', 'fakat', 'telefon', 'uyum', 'değil', 'hata', 'karşılaştımsorun', 'cihaz', 'kaynak', 'başka', 'telefon', 'yükle', 'iste', 'aynı', 'sorun', 'var', 'sunu', 'belir', 'iste', 'ikinci', 'dene', 'android', 'güncel', 'cihaz', 'böyle', 'sorun']",düzgün çalış sil tekrar yükle iste fakat telefon uyum değil hata karşılaştımsorun cihaz kaynak başka telefon yükle iste aynı sorun var sunu belir iste ikinci dene android güncel cihaz böyle sorun,0
"['hesap', 'doğrula', 'saçmalık', 'var', 'para', 'yükle', 'kullan']",hesap doğrula saçmalık var para yükle kullan,0
"['saat', 'ulaş', 'kimlik', 'doğrula', 'sorun', 'yaşa', 'saçma', 'herşey', 'doğru', 'yaz', 'hala', 'sorun', 'yaşa', 'yavaş']",saat ulaş kimlik doğrula sorun yaşa saçma herşey doğru yaz hala sorun yaşa yavaş,0
"['para', 'tuzagidir']",para tuzagidir,0
"['kullan', 'sonra', 'güvenlik', 'hata', 'şua', 'kullan']",kullan sonra güvenlik hata şua kullan,0
"['aycell', 'müşteri', 'hizmet', 'ara', 'sil', 'tekrar', 'yükle', 'söyle', 'işgüzar', 'müşteri', 'temsilcisisildimbelki', 'yükle', 'rağmen', 'siliniyogb', 'lazım', 'bitti', 'siz', 'yüzündenyine', 'yükle', 'müşteri', 'temsilci', 'geçin', 'papağan', 'misal', 'aynı', 'tekrarla', 'kişi', 'lanet', 'oku', 'inmiycekdise', 'sil']",aycell müşteri hizmet ara sil tekrar yükle söyle işgüzar müşteri temsilcisisildimbelki yükle rağmen siliniyogb lazım bitti siz yüzündenyine yükle müşteri temsilci geçin papağan misal aynı tekrarla kişi lanet oku inmiycekdise sil,0
"['paycel', 'hediye', 'kullanalimiyor', 'yetersiz', 'bakiye']",paycel hediye kullanalimiyor yetersiz bakiye,0
"['hayat', 'böyle', 'yara', 'gör', 'sevgili', 'turkcell', 'yönet', 'siz', 'cidden', 'adam', 'çalış', 'çekim', 'güç', 'övün', 'kadar', 'gün', 'övün', 'biz', 'utan']",hayat böyle yara gör sevgili turkcell yönet siz cidden adam çalış çekim güç övün kadar gün övün biz utan,1
"['hesap', 'sadece', 'kod', 'hiçbir', 'açıkla', 'kapa', 'oysaki', 'güzel', 'devam', 'iste', 'keşke', 'dinle', 'öyle', 'karar', 'evrak', 'evrak', 'hiçbirşey', 'söyle', 'kapa', 'yazık']",hesap sadece kod hiçbir açıkla kapa oysaki güzel devam iste keşke dinle öyle karar evrak evrak hiçbirşey söyle kapa yazık,1
"['hazırlimiti', 'kendi', 'abana', 'ark', 'kullan', 'kullan']",hazırlimiti kendi abana ark kullan kullan,0
"['pos', 'yanis', 'yaz', 'düzel']",pos yanis yaz düzel,0
"['blok', 'puan', 'veri', 'ilgilen', 'geri', 'yik']",blok puan veri ilgilen geri yik,0
['güzel'],güzel,0
"['hata', 'işlem', 'devam', 'lütfen', 'sonra', 'tekrar', 'dene', 'yazı', 'şimdi', 'para', 'aktarım', 'yine', 'aynı', 'söyle', 'şimdi', 'sil', 'umut', 'düzel', 'yet', 'çek', 'siz']",hata işlem devam lütfen sonra tekrar dene yazı şimdi para aktarım yine aynı söyle şimdi sil umut düzel yet çek siz,0
"['böyle', 'uygulmanin', 'tam', 'hafta', 'puan', 'veri', 'konu', 'ana', 'sorun', 'coxuqlari']",böyle uygulmanin tam hafta puan veri konu ana sorun coxuqlari,0
"['sev', 'yer', 'geç', 'kart', 'kullan', 'zaten', 'turkcell', 'değil', 'boş']",sev yer geç kart kullan zaten turkcell değil boş,0
"['saçma', 'sürekli', 'öde', 'hata', 'banka', 'konuş', 'turkcell', 'turkcell', 'konuş', 'banka', 'suç', 'mağdur', 'para', 'fatura', 'öde']",saçma sürekli öde hata banka konuş turkcell turkcell konuş banka suç mağdur para fatura öde,0
"['berbat', 'sürekli', 'don', 'kas', 'hesap', 'bile', 'kere', 'kapa', 'kaldır', 'gir', 'gerçekten']",berbat sürekli don kas hesap bile kere kapa kaldır gir gerçekten,0
"['para', 'puan']",para puan,0
"['yitir', 'kart', 'numara', 'fark', 'parayoktu']",yitir kart numara fark parayoktu,0
"['birsürü', 'puan', 'birik', 'kaç', 'beri', 'hata', 'sayfa', 'çevrile', 'yor', 'yüz', 'yıldız']",birsürü puan birik kaç beri hata sayfa çevrile yor yüz yıldız,1
['dene'],dene,0
"['hediye', 'kazan', 'deyip', 'zorla', 'aycell', 'ancak', 'hesap', 'hediye', 'falan', 'yok', 'tamamen', 'fare', 'arkadaş', 'pişman']",hediye kazan deyip zorla aycell ancak hesap hediye falan yok tamamen fare arkadaş pişman,0
