lemmas,positif_oneriler
['iyi'],['iyi']
['iyi'],['iyi']
['iyi'],['iyi']
"['puan', 'hediye', 'pah', 'saçma', 'düzel', 'iyi']","['puan hediye', 'saçma düzel', 'hediye pah', 'hediye', 'iyi']"
['iyi'],['iyi']
"['iyi', 'kart']","['iyi kart', 'iyi', 'kart']"
"['cook', 'iyi']","['cook iyi', 'cook', 'iyi']"
"['paysell', 'gir', 'şifre', 'yenile', 'onay', 'kod', 'lazım']","['şifre yenile', 'gir şifre', 'onay kod', 'şifre', 'yenile onay']"
"['iyi', 'güzel', 'ilgilen', 'gayet', 'güzel', 'bak', 'müthiş', 'bak', 'nice', 'lewis', 'dünya', 'iyi', 'derece', 'müthiş', 'oyun', 'güzel', 'iyi', 'oyun', 'var', 'aycell', 'bak', 'hediye', 'kod', 'resmi', 'yeni', 'oyun', 'sene', 'görüş', 'spor', 'oyun', 'gene', 'yenice', 'görüş', 'spor', 'oyun', 'kimse', 'counter', 'strike', 'yen', 'var', 'büyük', 'iddia', 'oyun', 'iyi']","['oyun güzel', 'oyun sene', 'müthiş oyun', 'iyi oyun', 'oyun iyi']"
"['güzel', 'i̇nternet', 'stok', 'artır', 'tavsiye', 'ayrıca', 'kazan', 'kazan', 'migros', 'hediye', 'hediye', 'ilk', 'kazan', 'kazan', 'gine']","['hediye ilk', 'ayrıca kazan', 'hediye hediye', 'hediye', 'kazan migros']"
['iyi'],['iyi']
['iyi'],['iyi']
['iyi'],['iyi']
"['gerçekten', 'sev', 'kullan', 'sürekli', 'kendi', 'kendi', 'açılıyorkapatıyorum', 'pencere', 'tekrar', 'açılıyorgerçektende', 'bil', 'telefon', 'kullanım', 'özgür', 'alın', 'artıksildim', 'daha', 'kullan', 'artık']","['kendi açılıyorkapatıyorum', 'açılıyorkapatıyorum pencere', 'kullan sürekli', 'tekrar açılıyorgerçektende', 'telefon kullanım']"
"['stok', 'ürün', 'bit', 'lütfen', 'düzel', 'iyi', 'gün']","['lütfen düzel', 'iyi gün', 'düzel iyi', 'iyi', 'düzel']"
"['iyi', 'aksam', 'aycell', 'tırıs', 'don', 'ılgılenırsenız', 'sıvın']","['ılgılenırsenız sıvın', 'sıvın', 'iyi aksam', 'aycell tırıs', 'iyi']"
"['almanya', 'hesap', 'para', 'gönder', 'kullan', 'memnun', 'kullan', 'devam', 'fiyat', 'iyi', 'teşekkür', 'aycell']","['para gönder', 'hesap para', 'iyi teşekkür', 'teşekkür', 'kullan memnun']"
['iyi'],['iyi']
"['iyi', 'inşallah', 'sağlık']","['inşallah sağlık', 'iyi inşallah', 'iyi', 'sağlık', 'inşallah']"
"['doğrula', 'kod', 'şifre', 'yenile']","['şifre yenile', 'kod şifre', 'şifre', 'doğrula kod', 'kod']"
['iyi'],['iyi']
['iyi'],['iyi']
"['harika', 'sadece', 'alışveriş', 'değil', 'hediye', 'cazip', 'fırsat', 'sun']","['hediye cazip', 'hediye', 'sadece alışveriş', 'harika sadece', 'cazip fırsat']"
"['şimdilik', 'iyi']","['şimdilik iyi', 'iyi', 'şimdilik']"
"['genel', 'iyi', 'kart', 'aktif', 'seçenek', 'tıkla', 'kapa', 'temas', 'aycell', 'kart', 'aktif', 'yardımcı']","['kart aktif', 'iyi kart', 'aktif seçenek', 'seçenek tıkla', 'aycell kart']"
"['cidden', 'güzel', 'turkcell', 'iyi', 'kampanya', 'insan', 'para', 'harca']","['iyi kampanya', 'insan para', 'kampanya insan', 'güzel turkcell', 'turkcell iyi']"
['iyi'],['iyi']
"['iyi', 'güzel']","['iyi güzel', 'güzel', 'iyi']"
"['iyi', 'kağıt', 'başla', 'aycell', 'puan', 'hediye', 'ayrıca', 'doğrula', 'mesaj', 'bile', 'gerçekten', 'iyi', 'güven', 'git', 'biraz', 'vodafone', 'pay', 'ders', 'para', 'kaptirdinizmi', 'kurtar', 'zor', 'aycell', 'denayrica', 'google', 'olay', 'kampanya', 'üzeri', 'hediye', 'bile', 'yalan', 'dol', 'aycell', 'kampanya', 'akıl']","['para kaptirdinizmi', 'olay kampanya', 'kampanya üzeri', 'kampanya akıl', 'puan hediye']"
"['kadar', 'gerek', 'gör', 'hediye', 'dünya', 'var', 'hediye', 'yok', 'salla', 'topla', 'doğru', 'düzgün', 'puan', 'ara', 'güncelle', 'puan', 'mal', 'gerek', 'kullan', 'iyi', 'kullan', 'kimse', 'tavsiye', 'herkes', 'sil', 'başka', 'yara', 'güzel', 'var']","['tavsiye herkes', 'var hediye', 'kullan iyi', 'düzgün puan', 'güzel var']"
"['komisyon', 'kız', 'sağol', 'iyi', 'idare']","['komisyon kız', 'kız sağol', 'sağol iyi', 'kız', 'sağol']"
"['düzgün', 'pik', 'sorun', 'bile', 'iste', 'ortak', 'atme', 'para', 'çek', 'alt', 'sıkıntı', 'oluş', 'yapım', 'teşekkür', 'iyi', 'yeni', 'doğru']","['teşekkür iyi', 'yapım teşekkür', 'para çek', 'teşekkür', 'iyi']"
"['iyi', 'numara']","['iyi numara', 'iyi', 'numara']"
['iyi'],['iyi']
"['ali', 'banakniz', 'onay', 'acilen', 'çizme', 'lazım']","['banakniz onay', 'lazım', 'çizme lazım', 'onay acilen', 'onay']"
"['gerçekten', 'iyi', 'şekil', 'gerçekten', 'son', 'zaman', 'kendi', 'geliş', 'aycell', 'emek', 'geçen', 'herkes', 'sağlık']","['herkes sağlık', 'geçen herkes', 'gerçekten iyi', 'herkes', 'iyi']"
['iyi'],['iyi']
"['merhaba', 'turkcell', 'aycell', 'ekip', 'öncelik', 'biz', 'sun', 'kalite', 'hizmet', 'harika', 'teşekkür', 'sev', 'kullan', 'oldukça', 'memnun', 'önce', 'düzenle', 'dijital', 'platform', 'harca', 'nakit', 'iade', 'kampanya', 'ocak', 'son', 'kampanya', 'tekrar', 'aktif', 'hal', 'getir', 'rica', 'özellikle', 'youtube', 'premium', 'bireysel', 'aile', 'paket', 'nakit', 'iade', 'tut', 'üzeri', 'hesapla', 'iste']","['turkcell', 'iade kampanya', 'turkcell aycell', 'merhaba turkcell', 'kampanya ocak']"
['iyi'],['iyi']
"['mrı', 'aycell', 'yetkili', 'güzel', 'ağır', 'parmak', 'iyi', 'bide', 'peşin', 'iade', 'geç', 'yatır', 'iade', 'yatirilirsa', 'güzel']","['yatirilirsa güzel', 'parmak iyi', 'yetkili güzel', 'iade geç', 'peşin iade']"
['iyi'],['iyi']
['iyi'],['iyi']
"['market', 'alışveriş', 'iade', 'kadar', 'reklam', 'kaldır', 'resmen', 'millet', 'enayi', 'yerine', 'koy', 'aynen', 'böyle', 'devam', 'turkcell', 'harika', 'güven']","['kadar reklam', 'devam turkcell', 'harika güven', 'reklam kaldır', 'güven']"
"['iyi', 'tavsiye']","['iyi tavsiye', 'tavsiye', 'iyi']"
['iyi'],['iyi']
['iyi'],['iyi']
['iyi'],['iyi']
"['lanet', 'vallahi', 'şifre', 'gir', 'onayla', 'sonra', 'lanet', 'tekrar', 'tekrar', 'şifre', 'yenile', 'duzteceltecek', 'cevap', 'müşteri', 'hizmet', 'ilgilen']","['şifre yenile', 'tekrar şifre', 'şifre gir', 'şifre', 'vallahi şifre']"
"['güzel', 'salla', 'toplam', 'puan', 'gör', 'ayrıca', 'hediye', 'puan', 'iyi']","['hediye puan', 'puan iyi', 'ayrıca hediye', 'toplam puan', 'hediye']"
"['şifre', 'unut', 'yenile', 'tane', 'mail', 'süper', 'müşteri', 'memnuniyet', 'tek', 'mail', 'merhaba', 'gönder', 'eposta', 'taraf', 'ulaş', 'talep', 'ilgili', 'siz', 'kısa', 'süre', 'dönüş', 'mai', 'cevapla', 'gerek', 'bulun', 'iyi', 'gün', 'dile', 'aycell', 'müşteri', 'hizmet']","['gönder eposta', 'mail merhaba', 'mail', 'tek mail', 'tane mail']"
"['şifre', 'unut', 'yenile', 'iste', 'yenile', 'çağrı', 'merkez', 'ara', 'ara', 'çağrı', 'merkez', 'şifre', 'değiş', 'iste', 'fakat', 'kendi', 'dön', 'şifre', 'deyistire', 'bilecen', 'söyle', 'şifre', 'unut', 'kısım', 'basincada', 'tekrar', 'çağrı', 'merkez', 'yonlendiriyo', 'beğen']","['şifre değiş', 'şifre unut', 'şifre deyistire', 'dön şifre', 'şifre']"
['iyi'],['iyi']
"['yıldız', 'mesele', 'oyun', 'para', 'yatır', 'arkadaş', 'kart', 'bilgi', 'gör', 'para', 'arkadaş', 'gizli', 'çek', 'oyun', 'yatır', 'çiz', 'iyi', 'pace', 'kuru']","['oyun para', 'çek oyun', 'mesele oyun', 'arkadaş kart', 'oyun yatır']"
"['salla', 'toplam', 'kadar', 'puan', 'topladimki', 'salladiginizda', 'siz', 'puan', 'kere', 'salla', 'topla', 'toplam', 'puan', 'kazandirdi', 'düşük', 'puan', 'gunn', 'youtube', 'instagram', 'kazan', 'hafta', 'salla', 'topla', 'lazım', 'memnun', 'teşekkür', 'turkcell']","['kadar puan', 'youtube instagram', 'puan kazandirdi', 'siz puan', 'puan kere']"
['iyi'],['iyi']
['iyi'],['iyi']
"['iyi', 'iyi']","['iyi iyi', 'iyi']"
"['hesap', 'şifre', 'unut', 'şifre', 'yenile', 'uğraş', 'müşteri', 'hizmet', 'aktar', 'müşteri', 'hizmet', 'şifre', 'iste', 'böyle', 'döngü', 'gir', 'yardımcı', 'lütfen']","['hizmet şifre', 'hesap şifre', 'şifre', 'şifre iste', 'şifre yenile']"
['iyi'],['iyi']
['iyi'],['iyi']
['iyi'],['iyi']
['iyi'],['iyi']
['iyi'],['iyi']
"['lanet', 'gir', 'böyle', 'bile', 'gir', 'bul', 'alan', 'bin', 'bela', 'insan', 'çile', 'çıkar']","['çile çıkar', 'insan çile', 'lanet gir', 'bela insan', 'bile gir']"
['iyi'],['iyi']
"['iyi', 'güzel', 'cüzdan', 'aycell', 'gurur', 'verici', 'tavsiye']","['güzel cüzdan', 'cüzdan aycell', 'cüzdan', 'verici tavsiye', 'tavsiye']"
"['kolay', 'sağla']","['kolay sağla', 'kolay', 'sağla']"
['iyi'],['iyi']
"['güzel', 'güncelle', 'gayet', 'iyi', 'sala', 'topla', 'günlük', 'i̇nternet', 'inşallah', 'herzaman', 'iyi', 'puan']","['güzel güncelle', 'güncelle gayet', 'inşallah herzaman', 'nternet inşallah', 'inşallah']"
"['aycell', 'adam', 'yorum', 'dikkat', 'okul', 'ürün', 'indirim', 'kupon', 'getir', 'teşekkürlerbiraz', 'getir', 'genç', 'öğrenci', 'tayfa', 'adet', 'gaming', 'kategori', 'oyun', 'kod', 'var', 'genç', 'zarar', 'alışkan', 'yönlen', 'yıl', 'oyun', 'bağımlı', 'söyle', 'bırak', 'böyle', 'güzel', 'içerik', 'bekle', 'nas', 'hediye', 'aycell', 'baskı', 'spor', 'ayakkabı', 'beyaz', 'aycell', 'baskı', 'deri', 'cüzdan', 'kılıf', 'hediye', 'bekle', 'genç', 'siz']","['oyun bağımlı', 'var genç', 'genç siz', 'getir genç', 'kupon getir']"
"['iyi', 'memnun']","['iyi memnun', 'memnun', 'iyi']"
"['toki', 'iyi']","['toki iyi', 'iyi', 'toki']"
"['yıldız', 'bak', 'pişman', 'kart', 'sipariş', 'edi', 'yaş', 'altı', 'kullan', 'kart', 'kullan', 'veli', 'izin', 'gerek', 'güzel', 'özellik', 'işlev', 'ayrıca', 'sipariş', 'iste', 'kart', 'üst', 'yazılı', 'veli', 'isim', 'çık', 'değiş', 'yine', 'işlev', 'sırf', 'yüz', 'veli', 'telefon', 'numara', 'kayıt', 'kendi', 'adım', 'hesap', 'sipariş', 'kart', 'ulaş', 'veli', 'izin', 'gerek', 'yaz', 'google', 'sağol']","['kart sipariş', 'sipariş kart', 'kullan kart', 'kart kullan', 'kart ulaş']"
"['şifre', 'güvenlik', 'don', 'giriş', 'master', 'hizmet', 'ara', 'şifre', 'yenile', 'bağ', 'lütfen', 'yardımcı']","['şifre güvenlik', 'şifre', 'şifre yenile', 'ara şifre', 'güvenlik don']"
['iyi'],['iyi']
"['hiçbir', 'sorun', 'yaşa', 'iyi', 'hatta', 'harca', 'baş', 'puan', 'puan', 'indirim', 'çeki', 'i̇nternet', 'kazan']","['baş puan', 'puan indirim', 'hiçbir sorun', 'harca baş', 'iyi hatta']"
"['aycell', 'gir', 'gunn', 'hediye', 'kazan', 'turkcell', 'ses', 'hicbirsey', 'dunyanin', 'kötü', 'böyle', 'santim', 'iyi']","['dunyanin kötü', 'turkcell ses', 'böyle santim', 'hicbirsey dunyanin', 'kötü böyle']"
"['nakit', 'çeki', 'kapa', 'müşteri', 'iyi', 'lütfen', 'nakit', 'çeki', 'artık']","['kapa müşteri', 'lütfen nakit', 'nakit çeki', 'müşteri iyi', 'müşteri']"
"['sen', 'topla', 'puan', 'yenile', 'puan', 'yüksel', 'artık']","['puan yenile', 'puan yüksel', 'yenile puan', 'yüksel artık', 'artık']"
['iyi'],['iyi']
"['yıldız', 'bile', 'fazla', 'aycell', 'puqnlarimi', 'kullan', 'sacmaladiniz', 'iyi']","['yıldız bile', 'yıldız', 'fazla aycell', 'kullan sacmaladiniz', 'sacmaladiniz']"
"['yıl', 'gir', 'şifre', 'yenile']","['şifre yenile', 'gir şifre', 'şifre', 'yıl gir', 'yenile']"
['iyi'],['iyi']
"['mükemmel', 'kullan', 'öner']","['mükemmel kullan', 'mükemmel', 'kullan', 'öner', 'kullan öner']"
"['teşekkür', 'iyi', 'var']","['teşekkür iyi', 'teşekkür', 'iyi var', 'iyi', 'var']"
"['aycell', 'temas', 'kart', 'kullan', 'mağaza', 'temas', 'alışveriş', 'öde', 'iyi']","['temas alışveriş', 'kullan mağaza', 'alışveriş öde', 'mağaza temas', 'alışveriş']"
"['kampanya', 'güzel', 'ilkten', 'kazı', 'kazan', 'var', 'git', 'geri', 'getir', 'iyi', 'salla', 'kazan', 'kazı', 'kazan', 'hayla', 'lütfen', 'getir', 'güzel']","['getir iyi', 'getir güzel', 'var git', 'kampanya güzel', 'getir']"
['iyi'],['iyi']
['iyi'],['iyi']
"['cooooooook', 'iyi']","['cooooooook iyi', 'iyi', 'cooooooook']"
['iyi'],['iyi']
['iyi'],['iyi']
"['aycell', 'otomatik', 'öde', 'talimat', 'hafta', 'kazan', 'fakat', 'henüz', 'tanımla', 'böyle']","['talimat hafta', 'otomatik öde', 'hafta', 'hafta kazan', 'öde talimat']"
"['iyi', 'güncel', 'galiba', 'android', 'sürüm', 'eski', 'kart', 'ekle', 'menü', 'yok']","['eski kart', 'android sürüm', 'galiba android', 'kart ekle', 'android']"
"['iyi', 'sistem']","['iyi sistem', 'sistem', 'iyi']"
"['siz', 'birey', 'duzelticeniz', 'yok', 'dur', 'yönlen', 'yapiyo', 'iyi', 'sil', 'kendi', 'cozmus', 'sorun', 'kullanilcak', 'değil', 'artık']","['duzelticeniz yok', 'yok dur', 'birey duzelticeniz', 'kullanilcak değil', 'siz birey']"
['iyi'],['iyi']
"['posta', 'değiş', 'şifre', 'hatırla', 'posta', 'yenile', 'bil', 'yardımcı', 'olur']","['şifre hatırla', 'değiş şifre', 'şifre', 'hatırla posta', 'posta değiş']"
"['şua', 'herşey', 'güzel', 'umudediyorumki', 'iyi', 'git']","['iyi git', 'umudediyorumki iyi', 'güzel umudediyorumki', 'iyi', 'umudediyorumki']"
"['beğen', 'giriş', 'telefon', 'değiş', 'zor', 'kal', 'artık', 'giriş', 'türkeli', 'ara', 'ses', 'yanıt', 'sistem', 'bağla', 'böyle', 'sorum', 'gör', 'tavsiye']","['giriş telefon', 'telefon değiş', 'telefon', 'bağla böyle', 'beğen giriş']"
['iyi'],['iyi']
"['merhaba', 'yıldız', 'çık', 'herkes', 'gör', 'para', 'çek', 'yolla', 'çalış', 'günlük', 'nakit', 'çek', 'limit', 'gerçek', 'böyle', 'yanıt', 'ila', 'karşılaş', 'lütfen', 'yardımcı', 'lira', 'para', 'var', 'çek', 'gün', 'iyi', 'gün', 'aycell', 'ekip']","['gör para', 'para çek', 'var çek', 'nakit çek', 'çek gün']"
"['emtia', 'işlem', 'altın', 'şimdi', 'sat', 'iste', 'işlem', 'gerçek', 'böyle']","['altın şimdi', 'işlem altın', 'altın', 'şimdi sat', 'gerçek böyle']"
"['ucuz', 'jeton', 'iyi', 'lütfen', 'tik']","['ucuz jeton', 'ucuz', 'jeton iyi', 'iyi lütfen', 'lütfen tik']"
"['iyi', 'alışveriş', 'kullan']","['iyi alışveriş', 'alışveriş kullan', 'alışveriş', 'kullan', 'iyi']"
"['payfix', 'geç', 'iyi', 'aycell', 'yetkili', 'servis', 'turkcell', 'görev', 'asla', 'buster', 'ilgilen', 'payfix', 'güven', 'iyi']","['payfix geç', 'ilgilen payfix', 'aycell yetkili', 'iyi aycell', 'güven iyi']"
['iyi'],['iyi']
['iyi'],['iyi']
"['iyi', 'sağla', 'güzel']","['iyi sağla', 'sağla güzel', 'iyi', 'güzel', 'sağla']"
"['tek', 'kelime', 'mükemmel', 'sadece', 'müşteri', 'hizmet', 'iletişim', 'düzel', 'lazım', 'sadece', 'ara', 'iste', 'işlem', 'lazım', 'böyle', 'uğraş']","['müşteri hizmet', 'hizmet iletişim', 'iletişim düzel', 'sadece müşteri', 'müşteri']"
"['iyi', 'kullan', 'güzel']","['kullan güzel', 'iyi kullan', 'iyi', 'güzel', 'kullan']"
['iyi'],['iyi']
['iyi'],['iyi']
"['iyi', 'güzel', 'puan', 'kullanım', 'sınır', 'artık', 'yüksel']","['güzel puan', 'puan kullanım', 'kullanım sınır', 'artık yüksel', 'iyi güzel']"
"['google', 'olay', 'kod', 'team', 'kod', 'kod', 'lütfen', 'aycell', 'eke', 'rica', 'eskiden', 'güzel', 'kod', 'var', 'kaldır', 'anla', 'lütfen', 'kod', 'tekrar', 'yükle', 'öner']","['team kod', 'olay kod', 'lütfen kod', 'güzel kod', 'google olay']"
"['iyi', 'iyi']","['iyi iyi', 'iyi']"
"['iyi', 'sıkıntı', 'var', 'mesela', 'temas', 'öde', 'geçici', 'kapa', 'geçen', 'kuzen', 'kart', 'çal', 'harca', 'allah', 'para', 'geri', 'öde', 'geçici', 'kart', 'kapa', 'güvenlik', 'açı', 'iyi']","['geçici kart', 'kart çal', 'öde geçici', 'kuzen kart', 'temas öde']"
['iyi'],['iyi']
"['uzun', 'zaman', 'kullan', 'baş', 'iyi', 'kampanya', 'doğru', 'trendyol', 'kampanya', 'katıl', 'vaat', 'gerçek', 'kart', 'para', 'rağmen', 'trendyol', 'sipariş', 'onayla', 'bakiye', 'yetersiz', 'yazık', 'bide', 'terk', 'bağ', 'yazık']","['trendyol kampanya', 'para rağmen', 'rağmen trendyol', 'iyi kampanya', 'kampanya doğru']"
"['kimlik', 'doğrula', 'yöntem', 'kolay', 'iyi']","['kimlik doğrula', 'kimlik', 'doğrula yöntem', 'yöntem kolay', 'kolay iyi']"
"['müşteri', 'hizmet', 'iyi', 'yardımcı', 'diğer', 'cüzdan', 'bahane', 'bul', 'kampanya', 'fırsat', 'iyi', 'beğendi']","['müşteri hizmet', 'fırsat iyi', 'diğer cüzdan', 'cüzdan bahane', 'müşteri']"
['iyi'],['iyi']
"['iyi', 'kesin']","['iyi kesin', 'iyi', 'kesin']"
"['site', 'gir', 'dijital', 'platform', 'üye', 'cashback', 'kampanya', 'gör', 'kart', 'üye', 'aktif', 'fakat', 'gir', 'böyle', 'kampanya', 'gör', 'müşteri', 'hizmet', 'ara', 'kayıt', 'cevap', 'katil', 'şartlarini', 'sağla', 'katılım', 'şart', 'aycell', 'müşteri', 'hangi', 'şart', 'sağla', 'ayrıca', 'diğer', 'aycell', 'kullan', 'arkadaş', 'mobil', 'uygulamalarindada', 'kampanya', 'yok', 'bilgi', 'konu', 'çözüm', 'kavuş', 'teşekkür']","['cashback kampanya', 'üye cashback', 'cashback', 'platform üye', 'uygulamalarindada kampanya']"
"['salla', 'topla', 'kazan', 'hediye', 'puan', 'asla', 'tanımla', 'sadece', 'göster', 'kal', 'böyle', 'şey', 'acilen', 'düzel', 'gerek', 'yok', 'salla', 'topla', 'anlam', 'kal', 'boşuna', 'biz', 'kan']","['kazan hediye', 'hediye puan', 'tanımla sadece', 'topla anlam', 'hediye']"
"['böyle', 'devam', 'iyi', 'git']","['iyi git', 'devam iyi', 'böyle devam', 'devam', 'git']"
"['iyi', 'aycell']","['iyi aycell', 'iyi', 'aycell']"
"['iyi', 'sen', 'teşekkür']","['sen teşekkür', 'teşekkür', 'iyi sen', 'iyi', 'sen']"
