lemmas,positif_oneriler
"['güzel', 'gayet', 'iyi', 'tek', 'sorun', 'kod', 'para', 'yat', 'dış', 'güzel', 'yatır']","['kod para', 'iyi tek', 'güzel yatır', 'güzel gayet', 'iyi']"
"['güzel', 'mükemmel']","['güzel mükemmel', 'güzel', 'mükemmel']"
"['teşekkür', 'aycell', 'i̇nternet', 'lazım', 'herzaman', 'böyle', 'i̇nternet', 'puan']","['teşekkür', 'herzaman', 'böyle nternet', 'puan', 'nternet lazım']"
"['bak', 'iyi', 'kimlik', 'doğrula', 'iste', 'nbc', 'özellik', 'iste', 'nbc', 'özellik', 'yetkili', 'kaldır', 'nbc']","['nbc özellik', 'kimlik doğrula', 'kaldır nbc', 'iste nbc', 'özellik yetkili']"
"['zor', 'zaman', 'yan', 'aycell', 'ekip', 'teşekkür']","['ekip teşekkür', 'teşekkür', 'ekip', 'zor zaman', 'aycell ekip']"
"['salla', 'kazan', 'kazan', 'gör', 'kendi', 'kapa', 'madem', 'öyle', 'sen', 'yıldız']","['sen yıldız', 'kendi kapa', 'gör kendi', 'madem öyle', 'kazan gör']"
"['inan', 'iyi', 'oyun', 'alışveriş', 'uygun', 'kampanya', 'veriyorbazı', 'hafta', 'ücret', 'civar', 'para', 'veriyorher', 'harca', 'indirim', 'sırf', 'aycell', 'turkcell', 'siz', 'aycell', 'bekle']","['para veriyorher', 'oyun alışveriş', 'harca indirim', 'indirim sırf', 'kampanya veriyorbazı']"
['güzel'],['güzel']
['memnun'],['memnun']
"['iyi', 'gün', 'aycell', 'giriş', 'şifre', 'unut']","['şifre unut', 'giriş şifre', 'şifre', 'aycell giriş', 'unut']"
"['güzel', 'beğendi']","['güzel beğendi', 'beğendi', 'güzel']"
"['mükemmel', 'i̇nternet', 'ihtiyaç']","['mükemmel nternet', 'nternet ihtiyaç', 'ihtiyaç', 'mükemmel', 'nternet']"
"['kullan', 'başla', 'neredeyse', 'rağmen', 'gir', 'calistigimda', 'yok', 'bakiye', 'mevcut', 'güvenlik', 'neden', 'oturum', 'sonlanmistir', 'hata', 'başla', 'türlü', 'gir', 'sikayetvar', 'cozeceklerini', 'söyle', 'kısa', 'süre', 'mağduriyet', 'gider', 'iste', 'düzenle', 'hesap', 'hafta', 'süreç', 'sonunda', 'sorun', 'çöz', 'teşekkür', 'ancak', 'sonra', 'kullan', 'karar']","['güvenlik neden', 'mevcut güvenlik', 'neden oturum', 'güvenlik', 'mağduriyet gider']"
"['dahi', 'harca', 'kuruş', 'geri', 'manyakişler']","['geri manyakişler', 'manyakişler', 'dahi harca', 'harca kuruş', 'dahi']"
"['beğendi', 'bayağı', 'güzel']","['bayağı güzel', 'güzel', 'beğendi bayağı', 'beğendi', 'bayağı']"
['iyi'],['iyi']
"['büyük', 'kolay', 'gerçekten']","['kolay gerçekten', 'büyük kolay', 'kolay', 'gerçekten', 'büyük']"
"['harika', 'öte']","['harika öte', 'harika', 'öte']"
['güzel'],['güzel']
"['saçma', 'iyi', 'tam', 'şifre', 'hatırla', 'kurtar', 'kod', 'hatırla', 'saçma', 'tam', 'zeka', 'geri', 'ahhahahahaha']","['tam şifre', 'şifre hatırla', 'kod hatırla', 'hatırla saçma', 'kurtar kod']"
['iyi'],['iyi']
"['güzel', 'şık', 'gönder']","['şık gönder', 'güzel', 'güzel şık', 'şık', 'gönder']"
"['gerçekten', 'güzel', 'sorun']","['güzel sorun', 'güzel', 'gerçekten güzel', 'gerçekten', 'sorun']"
['iyi'],['iyi']
['yardımcı'],['yardımcı']
"['aycell', 'iyi', 'herkes', 'kullan', 'tavsiye']","['kullan tavsiye', 'tavsiye', 'iyi herkes', 'herkes kullan', 'aycell iyi']"
"['güzel', 'teşekkür']","['güzel teşekkür', 'teşekkür', 'güzel']"
"['güzel', 'puan', 'gönder', 'limit', 'yüksel', 'güzel']","['güzel puan', 'puan gönder', 'yüksel güzel', 'limit yüksel', 'güzel']"
"['harika', 'memnun']","['harika memnun', 'memnun', 'harika']"
"['apo', 'dolayı', 'beğendi']","['dolayı beğendi', 'apo dolayı', 'beğendi', 'apo', 'dolayı']"
['harika'],['harika']
"['aycell', 'güzel', 'yıl', 'kullan', 'harika']","['güzel yıl', 'aycell güzel', 'yıl kullan', 'harika', 'kullan harika']"
"['iyi', 'takım', 'özel', 'kart', 'iyi']","['kart iyi', 'iyi takım', 'özel kart', 'takım özel', 'takım']"
"['aycell', 'kolay']","['aycell kolay', 'kolay', 'aycell']"
"['gerçekten', 'beğendi', 'öğrenci', 'harika', 'finans', 'sadece', 'kesinti', 'muazzam', 'hal', 'gayet', 'başarı']","['harika finans', 'öğrenci harika', 'beğendi öğrenci', 'gayet başarı', 'başarı']"
['güzel'],['güzel']
"['lütfen', 'puan', 'hediye', 'hak', 'sınırsız', 'saçma', 'saçmalık', 'düzel', 'sala', 'topla', 'düzel', 'full', 'puan', 'kazı', 'kazan', 'getir', 'iyi']","['puan hediye', 'saçmalık düzel', 'lütfen puan', 'kazan getir', 'getir iyi']"
"['yeni', 'şifre', 'oluş', 'onay', 'tuş', 'bas']","['yeni şifre', 'şifre', 'şifre oluş', 'oluş onay', 'onay']"
"['harika', 'hizmet', 'yıldız', 'hizmet']","['hizmet yıldız', 'harika hizmet', 'yıldız hizmet', 'hizmet', 'yıldız']"
['mükemmel'],['mükemmel']
"['önce', 'yorum', 'değiş', 'teşekkür', 'gerçekten', 'güzel']","['değiş teşekkür', 'teşekkür gerçekten', 'teşekkür', 'önce yorum', 'güzel']"
['güzel'],['güzel']
"['oldukça', 'iyi', 'sıkıntı', 'yok', 'hafta', 'boyunca', 'kullan', 'sıkıntı', 'çek']","['yok hafta', 'hafta boyunca', 'hafta', 'iyi sıkıntı', 'sıkıntı çek']"
"['sevgi', 'sadakat', 'vesselam']","['sevgi sadakat', 'sevgi', 'sadakat', 'sadakat vesselam', 'vesselam']"
['güzel'],['güzel']
['güzel'],['güzel']
['süper'],['süper']
['iyi'],['iyi']
"['giriş', 'işlem', 'gerçek', 'güvenlik', 'neden', 'oturum', 'son', 'türkiye', 'paha', 'operatör', 'müthiş', 'kadar']","['gerçek güvenlik', 'güvenlik neden', 'güvenlik', 'giriş işlem', 'giriş']"
"['hemen', 'yetkili', 'biri', 'gör', 'giriş', 'para', 'var', 'ayıp']","['giriş para', 'yetkili biri', 'hemen yetkili', 'yetkili', 'biri']"
['iyi'],['iyi']
['iyi'],['iyi']
"['iyi', 'özellikle', 'market', 'geç']","['market geç', 'özellikle market', 'geç', 'iyi', 'iyi özellikle']"
"['salla', 'topla', 'yara', 'puan', 'sıra', 'birdaha', 'bit', 'düzel']","['yara puan', 'topla yara', 'bit düzel', 'sıra birdaha', 'puan sıra']"
['mükemmel'],['mükemmel']
"['güzel', 'memnun']","['güzel memnun', 'memnun', 'güzel']"
['mükemmel'],['mükemmel']
"['güzel', 'teşekkür']","['güzel teşekkür', 'teşekkür', 'güzel']"
"['iyi', 'beğen']","['iyi beğen', 'iyi', 'beğen']"
"['begenmiyenler', 'yükle', 'mükemmel']","['yükle mükemmel', 'mükemmel', 'begenmiyenler yükle', 'begenmiyenler', 'yükle']"
"['kampanya', 'iyi', 'spotify', 'youtube', 'yarı', 'geri', 'iyi', 'para', 'transfer', 'ücret', 'saçma', 'kaldır', 'tam', 'numara']","['youtube yarı', 'spotify youtube', 'youtube', 'kampanya iyi', 'ücret saçma']"
"['güzel', 'kazan', 'kupon', 'tane', 'bazuka', 'tavuk', 'döv', 'kutu', 'kolay']","['kutu', 'döv kutu', 'kazan kupon', 'kupon tane', 'kutu kolay']"
"['ana', 'sayfa', 'bakiye', 'gözük', 'düzel', 'çabuk']","['sayfa bakiye', 'ana sayfa', 'sayfa', 'düzel çabuk', 'bakiye gözük']"
"['yaklaşık', 'kullan', 'gayet', 'memnun', 'öde', 'para', 'transfer', 'sorun', 'banka', 'hesap', 'ata', 'tavsiye', 'turkcell', 'guvencesınde', 'muhatap', 'bulan']","['sorun banka', 'tavsiye turkcell', 'banka hesap', 'öde para', 'banka']"
"['güzel', 'yeni', 'kart', 'çıkar', 'artık']","['yeni kart', 'kart çıkar', 'güzel yeni', 'yeni', 'güzel']"
['iyi'],['iyi']
['teşekkür'],['teşekkür']
"['herşey', 'komisyon', 'kes', 'işlem', 'hata', 'memnun', 'hesap', 'sil']","['hata memnun', 'herşey komisyon', 'hata', 'komisyon kes', 'işlem hata']"
['güzel'],['güzel']
['yardımcı'],['yardımcı']
"['beğen', 'kullan']","['beğen kullan', 'beğen', 'kullan']"
['iyi'],['iyi']
['harika'],['harika']
['güzel'],['güzel']
['iyi'],['iyi']
"['üst', 'görün', 'yıldız', 'fatura', 'öde', 'onay', 'kod', 'mesaj']","['yıldız fatura', 'öde onay', 'fatura öde', 'onay kod', 'fatura']"
"['iyi', 'tavsiye']","['iyi tavsiye', 'tavsiye', 'iyi']"
"['merhaba', 'telefon', 'yardımcı', 'sevin']","['merhaba telefon', 'telefon yardımcı', 'merhaba', 'telefon', 'yardımcı sevin']"
"['aycell', 'sev', 'kullan', 'netflix', 'spotify', 'popüler', 'üye', 'ekle', 'güzel', 'ancak', 'türkiye', 'dijital', 'platform', 'tabii', 'üye', 'aycell', 'üzeri', 'alın', 'iste', 'fatura', 'bakiye', 'öde', 'seçenek', 'büyük', 'kolay', 'sağla', 'geç', 'eylül', 'kadar', 'üye', 'ekle', 'teşekkür']","['kullan netflix', 'netflix', 'netflix spotify', 'spotify popüler', 'popüler üye']"
"['güzel', 'öde', 'kısım', 'şans', 'oyun', 'öde', 'güzel', 'misil']","['öde güzel', 'güzel öde', 'oyun öde', 'şans oyun', 'kısım şans']"
"['paycel', 'teknik', 'sorun', 'bit', 'müşteri', 'hizmet', 'hiçbir', 'yanıt', 'teknik', 'sorun', 'konu', 'bildirim', 'şikayet', 'borç', 'öde', 'engelle', 'öneri', 'alın', 'süper', 'işle', 'dekont', 'defa', 'finansal', 'ara', 'yasal', 'öde', 'onay', 'kamu', 'açık', 'paylaş', 'şikayet', 'herkes', 'gör']","['şikayet borç', 'bildirim şikayet', 'şikayet', 'öde engelle', 'paylaş şikayet']"
['harika'],['harika']
"['güzel', 'sağlık']","['güzel sağlık', 'sağlık', 'güzel']"
['iyi'],['iyi']
"['var', 'hayat', 'karış', 'siz', 'karış', 'tam', 'iste', 'şifre', 'koy', 'size', 'yakın', 'hat', 'değiştiri', 'zaten', 'fatura', 'yüksel', 'artık', 'kendi', 'kendi', 'hat']","['iste şifre', 'şifre koy', 'siz karış', 'zaten fatura', 'şifre']"
"['gayet', 'güzel']","['gayet güzel', 'güzel', 'gayet']"
"['süre', 'dol', 'şifre', 'yenile', 'yüz', 'kullan']","['şifre yenile', 'dol şifre', 'şifre', 'yenile yüz', 'yenile']"
"['güzel', 'yaş', 'küçük', 'rağmen']","['yaş küçük', 'küçük rağmen', 'güzel yaş', 'yaş', 'küçük']"
['harika'],['harika']
['harika'],['harika']
['iyi'],['iyi']
"['i̇çi̇n', 'mükemmel', 'turkcell', 'cevap']","['mükemmel turkcell', 'turkcell cevap', 'turkcell', 'çi mükemmel', 'cevap']"
"['harika', 'kendi', 'aliexpress', 'iste', 'alışveriş', 'onayla', 'gine', 'mutlu']","['alışveriş onayla', 'harika kendi', 'mutlu', 'kendi aliexpress', 'gine mutlu']"
['iyidegil'],['iyidegil']
['harika'],['harika']
"['puan', 'kullan', 'tamamen', 'dolandır', 'tavsiye']","['dolandır tavsiye', 'puan kullan', 'tavsiye', 'kullan tamamen', 'tamamen dolandır']"
"['güzel', 'beğen', 'kullan', 'yemek', 'sepet', 'kupon', 'falan', 'gerçekten', 'yara', 'katkı', 'iyi', 'tek', 'sıkıntı', 'sanal', 'dünya', 'alışveriş', 'sebep', 'işlem', 'banka', 'tarafından', 'reddet', 'uyarı', 'sebep', 'öğren', 'iste', 'yardımcı']","['kupon falan', 'kupon', 'sepet kupon', 'alışveriş sebep', 'tarafından reddet']"
"['sakin', 'gir']","['sakin gir', 'sakin', 'gir']"
"['iyi', 'kimlik', 'fotoğraf', 'önce', 'ait', 'yüz', 'doğrula', 'lütfen', 'yardımcı']","['ait yüz', 'kimlik fotoğraf', 'yüz', 'yüz doğrula', 'fotoğraf önce']"
['iyi'],['iyi']
"['hafta', 'çalışıyum', 'güvenlik', 'anahtar', 'daha', 'ileri', 'git', 'bilgi', 'var', 'yardımcı', 'sevin', 'teşekkür', 'yıldız', 'yorum', 'yaz', 'gsm', 'numara', 'git', 'paycel', 'kart', 'yine', 'saçma', 'sapan', 'program']","['güvenlik anahtar', 'anahtar daha', 'çalışıyum güvenlik', 'anahtar', 'güvenlik']"
"['gerçekten', 'mükemmel', 'hediye', 'hoş', 'git', 'allah', 'siz', 'razı']","['mükemmel hediye', 'hediye hoş', 'hediye', 'allah siz', 'mükemmel']"
"['sen', 'doğrula', 'i̇nternet', 'harca', 'mükemmel', 'iyi', 'finansal', 'uğurla', 'iste', 'güzel', 'finans']","['güzel finans', 'finansal uğurla', 'iyi finansal', 'mükemmel iyi', 'sen doğrula']"
"['şikayet', 'ilet', 'biz', 'ulaş', 'bölüm', 'gönderim']","['şikayet', 'şikayet ilet', 'bölüm gönderim', 'gönderim', 'ulaş bölüm']"
['güzel'],['güzel']
"['yaa', 'anlıyorumtürkiyede', 'firma', 'rabbe', 'banane', 'sene', 'birik', 'puan', 'aycell', 'puan', 'sadece', 'turkcell', 'mağaza', 'indirim', 'alabiliyorumgünümüzde', 'phone', 'telefon', 'bile', 'tane', 'biz', 'iletişim', 'şirket', 'müşteri', 'güzel', 'kampanya', 'sunmuyorhediyelere', 'bak', 'dilenci', 'sokak', 'biz', 'teklif', 'ediyorbiraz', 'cesaretyani', 'sene', 'siz', 'ton', 'para', 'öde', 'insan', 'güzel', 'kampanya', 'sununekonominiz', 'sars', 'puan']","['anlıyorumtürkiyede firma', 'indirim alabiliyorumgünümüzde', 'kampanya sununekonominiz', 'ton para', 'sokak biz']"
"['kullanım', 'dayat']","['kullanım dayat', 'kullanım', 'dayat']"
"['nene', 'tasarla', 'iyi']","['nene tasarla', 'tasarla iyi', 'tasarla', 'iyi', 'nene']"
['iyi'],['iyi']
"['kod', 'başka', 'banka', 'kartlarındada', 'kullan', 'harika', 'özellik', 'başka', 'yok', 'bütün', 'fatura', 'talimat', 'gecik', 'var', 'tek', 'ekran', 'takip', 'kart', 'borç', 'öde', 'geçmiş', 'işlem', 'kayıt', 'saye', 'kolay']","['banka kartlarındada', 'kart borç', 'kartlarındada kullan', 'takip kart', 'borç öde']"
['mükemmel'],['mükemmel']
"['iyi', 'cıv', 'güvenlik', 'neden', 'oturum', 'son', 'iki', 'böyle', 'şimdi']","['neden oturum', 'son iki', 'cıv güvenlik', 'oturum son', 'iki']"
['mükemmel'],['mükemmel']
['güzel'],['güzel']
"['iyi', 'güzel', 'tamam', ""i̇nternet'ten"", 'öde', 'kod', 'gönder', 'söyle', 'kod', 'mod', 'gerçekten', 'sinir', 'boz', 'durum', 'arkadaş', 'aycell', 'fizik', 'kart', 'şok', 'sat', 'kart', 'ekle', 'birden', 'yok', 'müşteri', 'hizmet', 'ara', 'resmen', 'salla', 'garip', 'beğen', 'iyi', 'kart', 'geç']","['kart geç', 'iyi kart', 'kart ekle', 'sat kart', 'öde kod']"
"['güzel', 'teşekkür']","['güzel teşekkür', 'teşekkür', 'güzel']"
['iyi'],['iyi']
['iyi'],['iyi']
"['sonunda', 'iade', 'teşekkür', 'aycell']","['iade teşekkür', 'teşekkür', 'sonunda iade', 'sonunda', 'teşekkür aycell']"
"['güzel', 'kart', 'kere', 'kullan', 'i̇nternet', 'alışveriş', 'kapa', 'doğru', 'para', 'yatır', 'kart', 'kullan', 'hal']","['kart kullan', 'güzel kart', 'kart kere', 'yatır kart', 'nternet alışveriş']"
"['iyi', 'aycell']","['iyi aycell', 'iyi', 'aycell']"
"['gerçekten', 'kullan', 'avantaj', 'sürü', 'imkan', 'sağla', 'kupon', 'beraber', 'güzel']","['sağla kupon', 'kupon beraber', 'gerçekten kullan', 'kullan avantaj', 'sürü imkan']"
"['coni', 'güzel', 'fayda']","['güzel fayda', 'fayda', 'coni güzel', 'güzel', 'coni']"
['ses'],['ses']
"['güzel', 'banka', 'uğraş', 'gerek', 'yapay', 'zeka', 'amerika', 'öde', 'imkan', 'güven', 'sistem', 'turkcel', 'güvence', 'güzel', 'herkes', 'tavsiye']","['turkcel güvence', 'zeka amerika', 'yapay zeka', 'güven sistem', 'imkan güven']"
"['hesap', 'doğrula', 'kampanya', 'para', 'transfer', 'yaklaşık', 'yıl', 'aktif', 'kullan', 'kampanya', 'iki', 'hariç', 'önem', 'sorun', 'yaşa', 'bugün', 'kadar', 'kampanya', 'yönelik', 'harca', 'nakit', 'iade', 'hemen', 'güzel']","['kampanya para', 'kadar kampanya', 'doğrula kampanya', 'kullan kampanya', 'kampanya yönelik']"
"['merhaba', 'arayüz', 'tema', 'falan', 'değiş', 'seçenek', 'klasik', 'sade', 'tasarım', 'kötü', 'mesela', 'karanlık', 'tema', 'yad', 'arayüz', 'tasarım', 'değiş', 'mod', 'seçenek', 'efsane', 'bird', 'kart', 'tasarım', 'mesela', 'futbol', 'taraftar', 'yad', 'görsel', 'gönder', 'süsle', 'harbi', 'efsane', 'gerçekten', 'tasarım', 'kötü']","['tasarım kötü', 'seçenek efsane', 'tasarım değiş', 'gerçekten tasarım', 'tasarım mesela']"
['süper'],['süper']
"['iyi', 'sarmala', 'nbc', 'boks', 'kuzu', 'tanımla', 'delırcemcıdden', 'düzel', 'sunu']","['düzel sunu', 'nbc boks', 'iyi sarmala', 'delırcemcıdden düzel', 'boks kuzu']"
['güzel'],['güzel']
"['aycell', 'gerçekten', 'iyi', 'banka', 'değişik', 'gerek', 'mesela', 'para', 'iade', 'zaman', 'para', 'iade', 'son', 'hareket', 'gözük', 'ayüzbir', 'tarafından', 'spotify', 'iade', 'gözük', 'çöz', 'gerekli', 'tam', 'iyi', 'banka', 'aycell', 'yüksel', 'şüphe', 'duy', 'lütfen', 'çöz']","['iyi banka', 'banka değişik', 'banka', 'banka aycell', 'zaman para']"
"['iyi', 'kimlik', 'doğrula', 'kimlik', 'doğrula', 'yok', 'kimlik', 'doğrula', 'limit', 'art', 'göz', 'bulun']","['doğrula kimlik', 'kimlik doğrula', 'iyi kimlik', 'yok kimlik', 'kimlik']"
['güzel'],['güzel']
"['yıldız', 'hak', 'kullan', 'üzere', 'sil', 'teknoloji', 'kadar', 'ilerle', 'doğrula', 'işlem', 'doğru', 'düzgün', 'bird', 'mağaza', 'yönlen']","['bird mağaza', 'düzgün bird', 'bird', 'yıldız hak', 'mağaza yönlen']"
"['aşırı', 'iyi', 'keşke', 'hediye', 'dünya', 'wolfteam', 'nakit', 'koy', 'iyi', 'lütfen', 'koy']","['keşke hediye', 'hediye dünya', 'dünya wolfteam', 'hediye', 'iyi keşke']"
['harika'],['harika']
"['güzel', 'türktelekom', 'i̇nternet', 'getir', 'hak', 'tek']","['güzel türktelekom', 'nternet getir', 'getir', 'getir hak', 'güzel']"
"['iyi', 'işlem', 'hız', 'teşekkür']","['hız teşekkür', 'işlem hız', 'iyi işlem', 'hız', 'teşekkür']"
"['iyi', 'puan', 'sala', 'kazan']","['iyi puan', 'iyi', 'puan', 'puan sala', 'kazan']"
['memnun'],['memnun']
"['aycell', 'fiziki', 'kart', 'biraz', 'sağlam', 'çeşit', 'renk', 'desen', 'çıkart', 'güzel']","['çeşit renk', 'renk desen', 'renk', 'kart biraz', 'fiziki kart']"
"['iyi', 'bak', 'iyi']","['bak iyi', 'iyi bak', 'iyi', 'bak']"
"['sipariş', 'kolay', 'indirim', 'iyi']","['indirim iyi', 'kolay indirim', 'sipariş kolay', 'indirim', 'sipariş']"
"['arkadaş', 'iyi', 'araştır', 'yükle', 'tavsiye']","['yükle tavsiye', 'arkadaş', 'arkadaş iyi', 'tavsiye', 'iyi araştır']"
"['harika', 'papara', 'dan', 'iyi', 'sev', 'kullan', 'tavsiye', 'bide', 'inşallah', 'papara', 'bur', 'kar', 'para', 'kapa', 'siz', 'sev', 'aycell']","['inşallah papara', 'bide inşallah', 'inşallah', 'bur kar', 'kapa siz']"
"['harika', 'aysel']","['harika aysel', 'harika', 'aysel']"
"['tema', 'özellik', 'getir', 'sevin', 'anlayış', 'teşekkür', 'paycellcüzdanödemekart']","['teşekkür paycellcüzdanödemekart', 'anlayış teşekkür', 'teşekkür', 'tema özellik', 'sevin anlayış']"
"['aycell', 'hesapima', 'gir', 'şifre', 'sure', 'geçmiş', 'herşey', 'sure', 'geçmiş']","['gir şifre', 'şifre sure', 'şifre', 'geçmiş herşey', 'sure geçmiş']"
['iyi'],['iyi']
"['aycell', 'salla', 'topla', 'kazan', 'puan', 'telefon', 'böyle', 'mesaj', 'kimbirgbister', 'tebrik', 'aycell', 'kazan', 'freebyte', 'hat', 'tanımla', 'yükle', 'hemen', 'tıkla', 'aycell', 'puan', 'kazan', 'ister', 'bak', 'puan', 'puan', 'düzel', 'rica', 'ayrıca', 'eski', 'arayüz', 'aycell', 'güzel', 'fazla', 'i̇nternet', 'var', 'i̇nternet', 'kazan', 'fazla', 'i̇nternet', 'ekle', 'eskisigibi']","['telefon böyle', 'puan telefon', 'telefon', 'mesaj', 'böyle mesaj']"
['süper'],['süper']
"['para', 'yatır', 'rağmen', 'alışveriş', 'düzel', 'gene', 'kol', 'duş', 'bilir', 'lütfen', 'sur', 'düzel']","['rağmen alışveriş', 'alışveriş düzel', 'para yatır', 'duş bilir', 'alışveriş']"
"['kart', 'ara', 'transfer', 'kimlik', 'bilgi', 'iste', 'önce', 'iste', 'düzel', 'iyi']","['transfer kimlik', 'ara transfer', 'transfer', 'kart ara', 'kimlik bilgi']"
['iyi'],['iyi']
['iyi'],['iyi']
['güzel'],['güzel']
"['yeni', 'dene']","['yeni dene', 'yeni', 'dene']"
['guzelguzel'],['guzelguzel']
"['maalesef', 'topla', 'kazan', 'puan', 'devam', 'haftaarasıra', 'i̇nternet', 'yüksek', 'puan', 'bekle', 'saygı', 'iyi', 'çalış']","['puan bekle', 'yüksek puan', 'puan devam', 'kazan puan', 'devam haftaarasıra']"
"['iyi', 'para']","['iyi para', 'iyi', 'para']"
"['kadar', 'lanet', 'sistem', 'sakın', 'kullan', 'adam', 'soy']","['kadar lanet', 'sakın kullan', 'kullan adam', 'sakın', 'adam soy']"
"['üst', 'görün', 'yıldız', 'epeydir', 'kimlik', 'doğrula', 'son', 'adım', 'yüz', 'tanımla', 'aşama', 'türlü', 'işlem', 'dar', 'başla', 'acilen', 'düzel', 'sevin', 'aksi', 'hal', 'hat', 'değiş']","['yıldız epeydir', 'görün yıldız', 'yıldız', 'epeydir kimlik', 'yüz tanımla']"
"['allah', 'bela', 'para', 'hepsi']","['para hepsi', 'hepsi', 'allah', 'allah bela', 'para']"
"['aycell', 'mükemmel', 'merak', 'uzun', 'yıl', 'kullan', 'rağmen', 'limit', 'hala', 'aynı', 'yukselmıyor']","['merak uzun', 'rağmen limit', 'uzun yıl', 'aynı yukselmıyor', 'kullan rağmen']"
"['rezalet', 'çalış', 'gunceledim', 'hay', 'bin', 'puan', 'üst', 'çalış', 'yardım', 'paycel', 'ara']","['çalış gunceledim', 'üst çalış', 'puan üst', 'gunceledim', 'rezalet çalış']"
"['merhaba', 'şaka']","['merhaba şaka', 'şaka', 'merhaba']"
"['iyi', 'iman', 'sev', 'kredi', 'iyi']","['iyi iman', 'iman sev', 'iman', 'kredi iyi', 'sev kredi']"
"['gerçekten', 'berbat', 'şifre', 'süre', 'dol', 'yönlen', 'bile', 'muhatap', 'kimse', 'yok', 'beğen']","['berbat şifre', 'muhatap kimse', 'kimse yok', 'şifre süre', 'kimse']"
"['iyi', 'aycell', 'tebrik']","['aycell tebrik', 'tebrik', 'iyi aycell', 'iyi', 'aycell']"
"['kampanya', 'güzel', 'arayüz', 'biraz', 'estetik', 'mod', 'lazım', 'fizik', 'kart', 'isim', 'yaz', 'fazla', 'renk', 'seçenek']","['renk seçenek', 'biraz estetik', 'fazla renk', 'estetik mod', 'estetik']"
"['kuşan', 'sev']","['kuşan sev', 'kuşan', 'sev']"
['mükemmel'],['mükemmel']
['harika'],['harika']
"['iyi', 'nbc', 'özellik', 'kalk', 'telefon', 'nbc', 'özellik', 'var']","['telefon nbc', 'iyi nbc', 'telefon', 'nbc özellik', 'özellik var']"
['iyi'],['iyi']
['iyi'],['iyi']
"['trol', 'kart', 'güzel', 'teşekkür']","['kart güzel', 'trol kart', 'güzel teşekkür', 'teşekkür', 'trol']"
"['trol', 'özellik', 'kart', 'güzel', 'kampanya', 'biraz', 'çeşit']","['trol özellik', 'kart güzel', 'trol', 'güzel kampanya', 'kampanya biraz']"
['iyi'],['iyi']
['tavsiye'],['tavsiye']
['güzel'],['güzel']
"['harika', 'bayıl', 'deneme', 'tavsiye']","['deneme tavsiye', 'bayıl deneme', 'tavsiye', 'deneme', 'harika bayıl']"
"['puan', 'hediye', 'pah', 'saçma', 'düzel', 'iyi']","['puan hediye', 'saçma düzel', 'hediye pah', 'hediye', 'iyi']"
['teşekkür'],['teşekkür']
"['güzel', 'güven', 'teşekkür']","['güven teşekkür', 'güzel güven', 'teşekkür', 'güven', 'güzel']"
['iyi'],['iyi']
['güzel'],['güzel']
"['kimlik', 'kart', 'oku', 'alaka', 'düzel', 'lütfen']","['kimlik kart', 'kart oku', 'kimlik', 'lütfen', 'düzel lütfen']"
['güzel'],['güzel']
"['turkcell', 'memnun']","['turkcell memnun', 'turkcell', 'memnun']"
"['iyi', 'kart']","['iyi kart', 'iyi', 'kart']"
['süper'],['süper']
