lemmas,sentiment,Puan,review_length,normalized_pred_label,Tarih
"['giriş', 'bile']",negative,1,17,neutral,2025-12-09 00:18:14
"['yıldız', 'bile', 'hak', 'kimlik', 'doğrula', 'ekran', 'kaydet', 'iste', 'izin', 'kimlik', 'doğrula', 'kısım', 'sıfırla', 'sonra', 'fazla', 'deneme', 'hata', 'yüz', 'oku', 'söyle', 'bile', 'iste', 'lütfen', 'yüz', 'uzaklastirin', 'kadar', 'uzaklastirsamda', 'algıla', 'sonra', 'doğrula', 'hata', 'oluş', 'kapa', 'kişi', 'kaç', 'para', 'bil', 'galiba', 'ucuz']",negative,1,360,negative,2025-12-08 22:40:57
['güzel'],positive,5,9,positive,2025-12-08 20:01:08
"['aycell', 'oldukça', 'güven', 'rahat', 'kullanım', 'sun', 'aynı', 'zaman', 'sorun', 'gider', 'ivedi', 'görüşme', 'çözüm', 'olumlu', 'sonuç', 'memnun', 'teşekkür', 'turkcell', 'aycell', 'iyi', 'çalış']",positive,5,201,positive,2025-12-08 16:02:15
"['kes', 'para', 'hatta', 'hesap', 'yok', 'devlet', 'bile', 'vergi', 'yükle', 'kadar', 'geçir', 'saçmalık', 'uzak', 'dur']",negative,1,121,negative,2025-12-08 13:16:27
"['müşteri', 'destek', 'rezalet', 'ilgilen', 'kart', 'doğrula', 'bozuk', 'kart', 'bütün', 'bilgi', 'doğru', 'yanlış', 'hata', 'yeni', 'kart', 'ekle', 'kart', 'ikisindede', 'aynı', 'hata']",negative,1,186,negative,2025-12-08 12:48:13
"['aycell', 'pismanliktir', 'hesabi', 'bloke', 'koy', 'gün', 'bekle', 'uzak', 'dur']",negative,1,83,negative,2025-12-08 09:45:30
"['kredi', 'kart', 'kıymet', 'maden', 'alisverisi', 'yaptimherhangi', 'güvenlik', 'ihlal', 'yapmadigim', 'hal', 'güvenlik', 'bahane', 'herhangi', 'aciklama', 'sanal', 'kart', 'bloke', 'kon', 'saat', 'çok', 'astik', 'hal', 'herhangi', 'geri', 'bonus', 'yapilmadi', 'kar', 'dun', 'mağdur', 'para', 'bloke', 'koy', 'sonra', 'saat', 'bonus', 'yapilmadigerekli', 'merci', 'şikayet', 'bulunacagim', 'aycell', 'dolayı', 'yakin', 'zaman', 'tane', 'turkcell', 'hatti', 'superonline', ""i̇nternet'imi"", 'iptal']",negative,1,499,negative,2025-12-07 21:31:37
"['salla', 'topla', 'kazan', 'puan', 'yok', 'kullan']",negative,1,52,negative,2025-12-07 18:34:07
"['fiziki', 'kart', 'ayrı', 'turkcell', 'mağaza', 'ilan', 'oluş', 'dolayı', 'hesap', 'doğrula', 'iste', 'kimlik', 'oku', 'nbc', 'özellik', 'rağmen', 'selfie', 'çekim', 'sonra', 'hata', 'neden', 'anla', 'kart', 'neden', 'kullan', 'durum', 'önce', 'düzelt', 'sevin']",neutral,3,263,negative,2025-12-07 14:50:53
"['dolap', 'alışveriş', 'kart', 'sanal', 'pos', 'işlem', 'kapalı']",neutral,3,65,negative,2025-12-07 10:33:15
"['gayet', 'güzel', 'müşteri', 'temsilci', 'sorun', 'hız', 'geri', 'dönüş', 'tek', 'sorun', 'doğrula', 'biraz', 'zor', 'kimlik', 'algıla', 'uzun', 'sür']",positive,5,152,negative,2025-12-05 22:04:55
"['kur', 'boş', 'kardeş']",negative,1,24,negative,2025-12-05 21:51:35
"['bildirim', 'kap', 'hal', 'ses', 'hal', 'toplantı', 'hal', 'rıza', 'hal', 'sonses', 'bildirim', 'gönder', 'yorum', 'dikkat', 'istirham']",negative,1,137,neutral,2025-12-05 19:06:35
"['fakat', 'sorun', 'çöz', 'herkes', 'gör', 'yıldız']",positive,5,52,negative,2025-12-05 15:52:16
['düzel'],positive,5,9,positive,2025-12-05 11:53:57
"['güncelle', 'hata']",negative,1,20,negative,2025-12-05 07:51:18
['harikulade'],positive,5,14,positive,2025-12-05 04:50:41
"['salla', 'topla', 'hata']",negative,1,26,negative,2025-12-05 00:04:05
"['yatırım', 'menü', 'sıkı', 'kullan', 'biri', 'sadece', 'altın', 'gümüş', 'platin', 'değil', 'yan', 'çeşit', 'döviz', 'gerekli']",positive,5,128,neutral,2025-12-04 19:59:26
"['işlem', 'gerçek', 'hata', 'turkcell', 'hat', 'fatura', 'değil', 'fatura', 'lazım']",positive,5,84,negative,2025-12-04 19:51:35
['mükemmel'],positive,5,12,positive,2025-12-04 13:07:34
['güzel'],positive,5,9,positive,2025-12-04 11:06:34
"['berbat', 'salla', 'topla', 'puan', 'iki', 'gün', 'sonra', 'geri', 'arkadaş', 'davet', 'puan', 'sefer', 'puan', 'kısıtla', 'koy']",negative,1,130,negative,2025-12-03 22:33:39
"['yıldız', 'yorum', 'üste', 'gözük', 'saçma', 'sistem', 'var', 'cihaz', 'nbc', 'yok', 'hesap', 'yüksel', 'birçok', 'özellik', 'hizmet', 'yarar']",positive,5,144,negative,2025-12-03 19:47:30
['basit'],negative,1,9,neutral,2025-12-03 13:26:49
"['gir', 'kimlik', 'oku', 'devam']",negative,1,33,positive,2025-12-03 10:20:13
"['inal', 'papara', 'kullan', 'eskiden', 'kapa', 'aycell', 'numara', 'turkcell', 'çalış', 'güven', 'ekip', 'inal', 'papara', 'bitti', 'kendi', 'bitir', 'yasal', 'bahis', 'filan']",positive,5,177,neutral,2025-12-02 17:59:48
"['turkcell', 'iki', 'mesaj', 'yok', 'salla', 'topla', 'aycell', 'hafta', 'hediye', 'puan', 'hediye', 'bil', 'sonunda', 'yine', 'ilk', 'salla', 'topla', 'sadece', 'dış', 'hafta', 'puan', 'yüz', 'puan', 'gün', 'sonra', 'yok', 'zaten', 'aşırı', 'saçma', 'indiridgime', 'pişman']",negative,1,275,negative,2025-12-02 16:42:25
"['web', 'site', 'gerizekalı', 'davran', 'oto', 'doğru', 'gir', 'rağmen', 'hata', 'kabul', 'düzel', 'sevin']",negative,1,107,negative,2025-12-02 16:10:13
"['kart', 'kapa', 'doğrula', 'tam', 'kart', 'var', 'siz', 'hat', 'kim', 'üst', 'üst', 'kart', 'kapa', 'iste', 'müşteri', 'hizmet', 'ara', 'yara', 'tam']",negative,1,151,negative,2025-12-02 15:57:34
['böyle'],negative,1,9,neutral,2025-12-02 07:47:51
"['para', 'yüklem', 'işlem', 'kimlik', 'tanı', 'problem', 'istisna', 'herdenemede', 'hata', 'sonra', 'kısa', 'sure', 'dene', 'dene', 'kabul', 'sorun', 'aciklama', 'yok', 'ciddi', 'problem', 'var']",negative,1,195,negative,2025-12-02 01:51:15
"['isim', 'değiş', 'anne', 'isim', 'yaz', 'güncelle', 'gerek', 'isim', 'bile', 'değiş', 'lütfen', 'biz', 'müşteri', 'temsilci', 'ugrastirmayin', 'lütfen']",negative,2,153,neutral,2025-12-01 20:13:42
"['böyle', 'sorum', 'müşteri', 'destek', 'gör', 'şifre', 'unut', 'rağmen', 'şifre', 'sıfırla', 'link', 'iste', 'adam', 'hafta', 'incele', 'beş', 'para', 'sakın']",negative,1,160,negative,2025-12-01 13:18:16
"['kullan', 'nefret', 'sürekli', 'telefon', 'çık', 'yigrenc']",negative,1,60,negative,2025-12-01 11:38:33
"['paysell', 'uygulamacilari', 'sabah', 'dördün', 'yaptimda', 'kusur', 'fatura', 'yansidi', 'kaldirali', 'gir', 'gaspet', 'giremiyorumda', 'yok', 'yuztanima', 'yok', 'selfie', 'kafa', 'biri', 'resim', 'sahte', 'kimlik', 'verilmiycegini', 'bilic', 'sabah', 'sabah', 'uğraştiğim', 'seyebak', 'lütfen', 'kontrol', 'biz', 'böyle', 'dolambaç', 'yol', 'göster', 'bez']",negative,1,361,negative,2025-12-01 09:16:43
"['aycell', 'gir', 'şifre', 'hatırla', 'gerekli']",negative,1,48,neutral,2025-11-30 19:21:10
"['berbat', 'kart', 'sadece', 'işlem', 'kart', 'doğrul', 'çalış', 'hata', 'dur', 'yetkili', 'seslen', 'ilgili', 'sorun', 'var', 'bak', 'öner', 'kart', 'düşün', 'hiçbir', 'şekil', 'öner']",negative,1,185,negative,2025-11-30 19:13:50
"['ilk', 'kullan', 'balad', 'mutlu', 'şimdi', 'mutlu', 'kesinlikle', 'öner', 'güzel']",positive,5,84,positive,2025-11-30 11:45:56
"['yıldız', 'dekont', 'özellik', 'yok', 'lazım']",negative,1,47,neutral,2025-11-30 09:38:48
['iyi'],positive,5,7,positive,2025-11-30 04:25:30
"['memnun', 'gizli', 'kullanişli', 'hiza', 'yetiş', 'amaç', 'gelecek', 'yön']",positive,5,76,positive,2025-11-29 22:21:43
"['aycell', 'fatura', 'tutar', 'kadar', 'anla']",negative,2,46,neutral,2025-11-29 22:18:49
"['hesap', 'gir', 'güvenlik', 'neden', 'dur', 'sorun', 'çöz', 'gerek']",neutral,3,69,negative,2025-11-29 21:05:38
"['google', 'olay', 'aycell', 'turkcell', 'fatura', 'ekle', 'yardım', 'eder']",positive,5,76,neutral,2025-11-29 20:53:49
"['kardeş', 'şifre', 'unut', 'ara', 'lazım', 'güven', 'kor', 'açı', 'çöp', 'mesela', 'hesap', 'yok', 'kaydol', 'bas', 'bile', 'giriş', 'sok', 'ayrı', 'düzel']",negative,1,157,negative,2025-11-29 14:50:44
"['iyi', 'değil', 'tavsiye', 'doğrul', 'çalış', 'dene', 'kullan']",negative,1,64,negative,2025-11-29 14:12:34
"['giriş', 'bile', 'fark', 'telefon', 'bile', 'dene']",negative,1,52,negative,2025-11-29 13:06:41
"['son', 'kart', 'para', 'çek', 'çalış', 'çek', 'i̇nternet', 'üzeri', 'kullan', 'düzelt']",positive,5,88,neutral,2025-11-29 12:14:01
"['hafta', 'aycell', 'puan', 'hiçbir', 'fonksiyon', 'yok', 'ödül', 'son', 'derece', 'bahis', 'komisyon', 'alan', 'örnegin', 'hazır', 'limit', 'kart', 'akataracaginiz', 'tutar', 'yaklasik', 'yakin', 'komisyon', 'dünya', 'bahis', 'oran', 'tefeci', 'komisyon', 'oran', 'haricuygulamadaki', 'diğer', 'sorun', 'caba', 'gerekli', 'uygulamayorumumun', 'incele', 'i̇ldiz', 'zor']",negative,1,370,neutral,2025-11-28 22:52:00
"['sakın', 'para', 'tuzak', 'işlem', 'ücret']",negative,1,44,neutral,2025-11-28 20:56:44
"['normal', 'banka', 'yetki', 'var', 'fakat', 'işle', 'konu', 'hindistan', 'sokak', 'lezzet', 'önce', 'hesap', 'var', 'tekrar', 'yüklem', 'karar', 'kimlik', 'doğrula', 'selfie', 'aşama', 'hata', 'kadar', 'salak', 'düşün', 'merak', 'insan', 'resmen', 'dalga', 'geç', 'kullan', 'abi', 'böyle', 'şirket', 'para', 'kazan', 'kendi', 'ülke', 'bile', 'böyle', 'insan', 'yüz', 'geç', 'sınıf', 'insan', 'yerine', 'kon']",negative,1,409,negative,2025-11-28 05:36:23
"['aycell', 'kart', 'para', 'helal']",negative,1,35,neutral,2025-11-27 22:44:48
"['bildirim', 'normal', 'msjdan', 'salla', 'topla', 'hediye', 'sen', 'bekle', 'salla', 'puan', 'i̇nternet', 'çık', 'sonra', 'girdi', 'bak', 'hiçbir', 'yok', 'lütfen', 'sorun', 'çöz']",negative,1,181,neutral,2025-11-27 20:03:07
['iyi'],positive,5,7,positive,2025-11-27 19:33:22
"['hesap', 'doğrula', 'nbc', 'iste', 'cihaz', 'nbc', 'özellik', 'para', 'yükle']",negative,1,79,neutral,2025-11-27 15:29:15
"['biçim', 'devam', 'hata', 'salla', 'topla', 'salla', 'sonra', 'hemen', 'sorun', 'yaşa', 'düzgün']",negative,1,98,negative,2025-11-27 09:29:14
"['herman', 'alt', 'kredi', 'hazır', 'mükemmel']",positive,5,47,positive,2025-11-27 09:04:57
"['uzun', 'süre', 'salla', 'topla', 'dan', 'puan', 'kullan']",negative,1,59,positive,2025-11-27 06:11:50
"['fatura', 'öde', 'komisyon', 'kes']",positive,5,36,neutral,2025-11-26 22:08:39
"['sene', 'önce', 'futbol', 'lisans', 'çıkar', 'foto', 'kimlik', 'paycele', 'kayıt', 'iste', 'ancak', 'herşey', 'fotoğraf', 'çek', 'kısım', 'kimlik', 'foto', 'eslestiremiyo', 'rezalet']",negative,1,184,negative,2025-11-26 16:15:18
"['hediye', 'falan', 'sadece', 'puan', 'puan', 'hiçbirşey', 'insan', 'borç', 'kurul', 'lira', 'fatura', 'yansı', 'insan', 'borç', 'kesinlikle']",negative,1,142,negative,2025-11-25 23:50:11
"['böyle', 'saçma', 'hat', 'eski', 'sahip', 'isim', 'yaz', 'talep', 'oluş', 'rağmen', 'hafta', 'güncelle', 'hiçbir', 'rezil']",negative,1,124,negative,2025-11-25 21:29:58
['aycell'],negative,1,10,neutral,2025-11-24 16:08:27
"['beş', 'para', 'tam', 'turkcell']",negative,1,34,negative,2025-11-24 15:55:07
"['ilk', 'baş', 'mağaza', 'kart', 'ora', 'işlem', 'kart', 'kaydol', 'sekil', 'çık', 'kart', 'bura', 'kadar', 'problem', 'yok', 'sonra', 'bilgi', 'gir', 'başla', 'fakat', 'asla', 'tamamla', 'işlem', 'başarı', 'düzel', 'bekle', 'bugün', 'giriş', 'böyle', 'acilen', 'düzel', 'iste', 'kart', 'kullan', 'sorun', 'karşılaş']",negative,1,317,negative,2025-11-24 15:37:12
"['iyi', 'halen', 'kullan']",positive,5,26,positive,2025-11-24 15:11:45
"['geç', 'gir', 'bazen', 'gir']",negative,1,30,neutral,2025-11-24 15:07:40
"['giriş', 'sürekli', 'hata']",negative,1,28,negative,2025-11-24 15:02:38
"['işlem', 'gerçek', 'işlem', 'gerçek', 'lütfen', 'sonra', 'tekrar', 'dene', 'hata', 'sonra', 'gir', 'şifre', 'yanlış', 'hata']",negative,1,126,neutral,2025-11-24 14:21:13
"['kimlik', 'doğrula', 'yüz', 'tara', 'hal', 'bugün', 'tekrar', 'iste', 'ilan', 'git', 'kimlik', 'doğrula', 'geçici', 'hata', 'uyarı', 'kritik', 'hata', 'çıkar', 'tasarı', 'değiş', 'yazılım', 'teşekkür', 'ilet']",negative,1,210,positive,2025-11-24 11:47:54
"['hesap', 'onayla', 'kimlik', 'doğrula', 'program', 'algıla']",neutral,3,61,neutral,2025-11-23 23:14:58
"['kadar', 'anlam', 'doğrula', 'neredeyse', 'hafta', 'dene', 'türlü', 'doğrula', 'doğru', 'rağmen', 'hata']",negative,1,106,negative,2025-11-23 15:33:58
['güzelbuldum'],positive,5,15,neutral,2025-11-23 14:21:23
"['puan', 'var']",negative,1,15,neutral,2025-11-23 11:40:39
"['yine', 'turkcell', 'kadar', 'beraat', 'yazma', 'gerek', 'duy']",negative,1,64,negative,2025-11-23 10:12:45
"['sakın', 'kullan', 'hayat', 'gör', 'kötü', 'banka', 'içeri', 'para', 'kal', 'destek', 'cevap', 'nbc', 'özellik', 'yara', 'tam', 'saat', 'boyunca', 'nbc', 'uğraş', 'sürekli', 'sorun', 'çık', 'destek', 'talep', 'yanıt']",negative,1,218,negative,2025-11-23 00:31:45
"['güzel', 'gayet', 'iyi', 'tek', 'sorun', 'kod', 'para', 'yat', 'dış', 'güzel', 'yatır']",positive,5,88,positive,2025-11-22 19:41:02
"['doğrula', 'yüz', 'tara', 'yanlış', 'artık', 'doğru', 'kapsam', 'hata', 'boş']",negative,1,79,negative,2025-11-22 18:16:14
"['güzel', 'mükemmel']",positive,5,21,positive,2025-11-22 00:04:05
"['kötü', 'lira']",negative,1,16,negative,2025-11-21 23:48:22
"['teşekkür', 'aycell', 'i̇nternet', 'lazım', 'herzaman', 'böyle', 'i̇nternet', 'puan']",positive,5,86,positive,2025-11-21 22:43:12
"['paycel', 'fizik', 'kart', 'i̇nternet', 'alışveriş', 'kullan', 'ara', 'müşteri', 'hizmet', 'yardımcı']",negative,1,103,neutral,2025-11-21 19:29:21
"['kal', 'hesap', 'rağmen', 'hatti', 'tur', 'yüklem', 'master', 'hizmet', 'ara', 'geri', 'zekai', 'muamele', 'sapil', 'yüksek', 'not', 'sebep', 'aciklamayi', 'herkes', 'sor', 'birdaha', 'kullan', 'önce', 'kere', 'dusunup', 'öyle', 'karar', 'artık', 'aycell', 'kullan']",positive,5,267,negative,2025-11-21 18:17:18
"['sonra', 'kart', 'sat', 'kart', 'girdi', 'bura', 'kadar', 'sorun', 'yok', 'onay', 'iste', 'hata', 'sorun', 'rağmen', 'işlem', 'gerçek', 'kart', 'kayıt', 'zaten', 'yine', 'bak', 'sefer', 'kart', 'git', 'kaydet', 'ses', 'kart', 'şifre', 'cüzdan', 'sonra', 'bak', 'git', 'işlem', 'üst', 'kart', 'cüzdan', 'gözük', 'tekrar', 'kaydet', 'kart', 'sefer', 'kart', 'kaydet', 'limit', 'dol', 'hata', 'hemen', 'düzel', 'rica']",negative,1,416,negative,2025-11-21 16:59:40
"['berbat', 'papara', 'kapa', 'indiriceksebiz', 'sakın', 'yıldız', 'bile', 'fazla', 'yıldız', 'yorum', 'yıldız', 'bile']",negative,1,119,negative,2025-11-21 13:44:53
"['giriş', 'şifre', 'unut', 'değiş', 'iste']",negative,1,43,neutral,2025-11-21 10:50:10
"['üye', 'iste', 'sim', 'kayıt', 'gir', 'numara', 'aynı']",negative,1,56,neutral,2025-11-20 20:58:40
"['kimlik', 'doğrula']",negative,1,21,neutral,2025-11-20 18:59:43
"['inşallah', 'ininal', 'papara', 'kapa']",positive,5,40,negative,2025-11-20 17:49:03
"['lig', 'ekran', 'şifre', 'gir', 'sonra', 'dashboard', 'ekran', 'boz']",neutral,3,70,negative,2025-11-20 15:36:55
"['bak', 'iyi', 'kimlik', 'doğrula', 'iste', 'nbc', 'özellik', 'iste', 'nbc', 'özellik', 'yetkili', 'kaldır', 'nbc']",neutral,3,115,positive,2025-11-20 08:06:16
"['cüzdan', 'doğrula', 'sefer', 'hata', 'doğrula', 'dolayısıyla', 'para', 'yukleyemiyorsunuzmusteri', 'hizmet', 'yok', 'turkcell', 'bayi', 'yönlen', 'saçma']",negative,1,156,negative,2025-11-19 21:34:29
"['puan', 'bile', 'hak', 'hesap', 'kur', 'kurmadigim', 'hesap', 'don']",negative,1,69,negative,2025-11-19 13:26:03
"['aycell', 'giriş']",negative,1,19,neutral,2025-11-18 20:52:55
"['kendi', 'kart', 'kart', 'çoğu', 'şey', 'bedava', 'yolla', 'kart', 'öde']",negative,1,74,negative,2025-11-18 18:56:11
"['hesap', 'doğrula', 'sorun', 'yaşa', 'hata']",negative,1,45,negative,2025-11-18 18:35:31
"['müşteri', 'temsilci', 'bağla', 'imkan']",negative,1,41,neutral,2025-11-18 13:32:46
"['puan', 'sıkıntı', 'yok']",neutral,3,26,negative,2025-11-18 06:33:17
"['zor', 'zaman', 'yan', 'aycell', 'ekip', 'teşekkür']",positive,5,53,positive,2025-11-17 23:41:51
"['giriş', 'mail', 'adres', 'yen', 'ora', 'yaz', 'telefon', 'ara', 'acı', 'telefon', 'hizmet', 'kapa', 'mail', 'ulaş', 'yıl', 'kullan', 'hesabi', 'kapa', 'bil', 'alternatif', 'yok', 'değil']",negative,1,189,neutral,2025-11-17 13:07:27
"['son', 'güncelle', 'sonra', 'aycell', 'üzeri', 'kredi', 'kart', 'fatura', 'otomatik', 'öde', 'talimat', 'banka', 'onay', 'bildiri', 'şifre', 'onayla', 'sayfa', 'dön', 'gir', 'aycell', 'ana', 'ekran', 'dön']",positive,5,207,neutral,2025-11-17 05:33:13
"['nahalet', 'sistem', 'sürekli', 'mesaj', 'mesaj', 'kısıtla']",negative,1,61,neutral,2025-11-17 01:08:29
"['sakin', 'yükle', 'boş', 'yer', 'kart', 'para', 'veri̇rsi̇ni̇z', 'alirsaniz', 'ki̇mli̇k', 'dogrulamasi̇nda', 'çeşi̇tli̇', 'çeşi̇tli̇', 'bahane', 'hata', 'verdi̇gi̇ni̇', 'i̇ddi̇a']",negative,1,180,negative,2025-11-16 23:29:19
"['şart', 'kız', 'hoş', 'git', 'veri', 'işle', 'çerez', 'yaz', 'defalarca', 'sil', 'ugrasamki', 'ora', 'bura', 'yazma', 'ara', 'şart', 'belirle', 'biz', 'muhtaç', 'siz', 'biz', 'ihtiyaç', 'var', 'kural', 'koy', 'veri', 'topla', 'paylaş', 'yine', 'hoş', 'git', 'kapa', 'hesap', 'kış', 'bile', 'kullan', 'haziran', 'sonra', 'yeterince', 'icra', 'siz', 'bilgi', 'biz', 'sat', 'hayat', 'pay', 'siz', 'isim', 'yaz', 'ses', 'gönder', 'kapa', 'hesap']",negative,1,443,negative,2025-11-16 22:53:45
"['salla', 'kazan', 'kazan', 'gör', 'kendi', 'kapa', 'madem', 'öyle', 'sen', 'yıldız']",negative,1,85,positive,2025-11-16 16:16:58
"['aycell', 'doğrula', 'işlem', 'nbc', 'cihazdada']",positive,5,50,neutral,2025-11-16 14:59:35
"['para', 'kullan', 'bird', 'fatura', 'yatır', 'insan', 'dalga', 'geç', 'hiçbir', 'yıldız', 'hak', 'insan', 'mağdur', 'türkel', 'cari', 'bul', 'kullan', 'pay', 'cebe', 'onbinlira', 'fatura', 'çık', 'nes', 'pay', 'cep', 'kimse', 'tavsiye']",negative,1,237,negative,2025-11-16 09:42:56
"['üst', 'görün', 'yıldız', 'önce', 'yükle', 'giriş', 'kayıt', 'lazım']",positive,5,70,neutral,2025-11-16 01:29:15
"['kadar', 'kötü', 'kart', 'sistem', 'gör', 'kimlik', 'tanımla', 'para', 'çek', 'sanal', 'mağaza', 'alışveriş', 'kart', 'hiçbirşey', 'kabul', 'hata', 'yüz', 'yıldız', 'bile', 'haket']",negative,1,182,negative,2025-11-15 18:27:55
"['kullan', 'kart', 'sefer', 'kullan', 'gerek', 'şifre', 'unut', 'işlem', 'tamamla', 'sefer', 'sistem', 'hata', 'düzel', 'lanet', 'artık']",negative,1,137,neutral,2025-11-15 09:02:46
"['bakiye', 'aktar', 'kart', 'öde', 'para', 'var', 'limit', 'yaz']",positive,5,65,negative,2025-11-14 10:21:10
['bokkkkkkk'],positive,5,13,negative,2025-11-13 23:25:15
"['kayıt', 'numara', 'yaz', 'güvenlik', 'neden', 'oturum', 'son', 'çöz', 'iste']",negative,1,79,negative,2025-11-13 20:56:09
"['i̇stedi̇kleri̇', 'zaman', 'para', 'bloke', 'boyuyorlargüvenlik', 'neden', 'oturum', 'sonlan', 'hesap', 'eriş', 'kullan', 'hesabimdaki̇', 'para', 'gasp']",negative,1,154,negative,2025-11-13 15:01:18
"['aşırı', 'iyi', 'kullan', 'hiçbir', 'sorun', 'karşılaş']",positive,5,57,neutral,2025-11-13 09:47:18
"['normal', 'dene', 'kargo', 'konu', 'sıkıntı', 'kargo', 'yer', 'sistem', 'gözük', 'belki', 'kurye', 'bile', 'üst', 'kaç', 'gün', 'bekle', 'sıkıl', 'gerçekten', 'irtibat', 'geç', 'mutlu', 'kart', 'ihtiyaç', 'var', 'okul', 'öğrenci', 'yün', 'kartıeğer', 'ulaş', 'meri', 'normal', 'güzel', 'kart', 'sev']",negative,1,301,neutral,2025-11-13 09:11:38
"['keşke', 'telefon', 'numara', 'yerine', 'posta', 'iste', 'numara', 'baba', 'üst', 'hesap', 'lütfen', 'düzel']",neutral,3,110,negative,2025-11-13 07:45:00
"['başka', 'hesap', 'lütfen', 'hesap', 'sıfırla']",negative,2,48,neutral,2025-11-12 16:58:35
"['inan', 'iyi', 'oyun', 'alışveriş', 'uygun', 'kampanya', 'veriyorbazı', 'hafta', 'ücret', 'civar', 'para', 'veriyorher', 'harca', 'indirim', 'sırf', 'aycell', 'turkcell', 'siz', 'aycell', 'bekle']",positive,5,197,positive,2025-11-11 23:08:22
"['iğrenç', 'rezil']",negative,1,19,neutral,2025-11-11 15:28:32
"['illallah', 'saçma', 'doğrula', 'süreç', 'sonra', 'nefret', 'sil', 'sil', 'gerek', 'yok']",negative,1,90,neutral,2025-11-11 15:05:50
"['fazla', 'ilan', 'olusturamiyom', 'sürekli', 'hata', 'sorun', 'gider', 'iste']",negative,1,79,negative,2025-11-11 13:27:16
['güzel'],positive,5,9,positive,2025-11-11 12:19:07
"['numara', 'taşı', 'kart', 'para', 'var', 'git', 'çeki', 'para', 'tahsil', 'durum', 'düzel', 'iste', 'durum', 'düzel', 'gerekli', 'yer', 'bildirim', 'durum', 'acilen', 'düzel', 'iste']",negative,1,184,neutral,2025-11-11 11:05:56
"['müşteri', 'hizmet', 'görüş', 'şifre', 'değiş', 'yol', 'bul', 'berbat']",negative,2,72,negative,2025-11-10 21:37:15
['memnun'],positive,5,10,positive,2025-11-10 17:26:20
"['yükle', 'boşuna', 'zaman', 'kaybet']",negative,1,38,negative,2025-11-10 13:52:16
"['papara', 'kapa', 'mecburen', 'geç', 'bak']",positive,4,44,neutral,2025-11-10 13:16:48
"['iyi', 'gün', 'aycell', 'giriş', 'şifre', 'unut']",positive,5,50,positive,2025-11-10 11:57:33
"['güzel', 'beğendi']",positive,5,20,positive,2025-11-10 11:14:45
"['berbat', 'sistemyükselen', 'limit', 'düsürmüsler']",negative,1,52,neutral,2025-11-10 00:10:36
['kötü'],negative,1,8,negative,2025-11-09 23:03:19
