lemmas,positif_oneriler
"['iyi', 'kimlik', 'doğrula', 'kimlik', 'doğrula', 'yok', 'kimlik', 'doğrula', 'limit', 'art', 'göz', 'bulun']","['doğrula kimlik', 'kimlik doğrula', 'iyi kimlik', 'yok kimlik', 'kimlik']"
['çalış'],['çalış']
['güzel'],['güzel']
"['üst', 'gözük', 'yıldız', 'asla', 'hak', 'yüz', 'tara', 'işlem', 'kaç', 'doğrula']","['yıldız asla', 'gözük yıldız', 'yıldız', 'asla hak', 'kaç doğrula']"
"['yıldız', 'hak', 'kullan', 'üzere', 'sil', 'teknoloji', 'kadar', 'ilerle', 'doğrula', 'işlem', 'doğru', 'düzgün', 'bird', 'mağaza', 'yönlen']","['bird mağaza', 'düzgün bird', 'bird', 'yıldız hak', 'mağaza yönlen']"
"['tesekkrler', 'harika', 'bul']","['harika bul', 'tesekkrler harika', 'harika', 'tesekkrler', 'bul']"
"['aşırı', 'iyi', 'keşke', 'hediye', 'dünya', 'wolfteam', 'nakit', 'koy', 'iyi', 'lütfen', 'koy']","['keşke hediye', 'hediye dünya', 'dünya wolfteam', 'hediye', 'iyi keşke']"
['harika'],['harika']
"['güzel', 'türktelekom', 'i̇nternet', 'getir', 'hak', 'tek']","['güzel türktelekom', 'nternet getir', 'getir', 'getir hak', 'güzel']"
"['yorum', 'görün', 'beş', 'yıldız', 'güncelle', 'giriş', 'hat', 'mevcut', 'hepsi', 'aynı', 'hata', 'lütfen', 'ilgilen']","['beş yıldız', 'yıldız güncelle', 'yıldız', 'görün beş', 'beş']"
"['iyi', 'işlem', 'hız', 'teşekkür']","['hız teşekkür', 'işlem hız', 'iyi işlem', 'hız', 'teşekkür']"
"['iyi', 'puan', 'sala', 'kazan']","['iyi puan', 'iyi', 'puan', 'puan sala', 'kazan']"
['memnun'],['memnun']
"['aycell', 'fiziki', 'kart', 'biraz', 'sağlam', 'çeşit', 'renk', 'desen', 'çıkart', 'güzel']","['çeşit renk', 'renk desen', 'renk', 'kart biraz', 'fiziki kart']"
"['iyi', 'bak', 'iyi']","['bak iyi', 'iyi bak', 'iyi', 'bak']"
"['sipariş', 'kolay', 'indirim', 'iyi']","['indirim iyi', 'kolay indirim', 'sipariş kolay', 'indirim', 'sipariş']"
"['salla', 'topla', 'puan']","['topla puan', 'salla topla', 'puan', 'topla', 'salla']"
"['arkadaş', 'iyi', 'araştır', 'yükle', 'tavsiye']","['yükle tavsiye', 'arkadaş', 'arkadaş iyi', 'tavsiye', 'iyi araştır']"
"['harika', 'papara', 'dan', 'iyi', 'sev', 'kullan', 'tavsiye', 'bide', 'inşallah', 'papara', 'bur', 'kar', 'para', 'kapa', 'siz', 'sev', 'aycell']","['inşallah papara', 'bide inşallah', 'inşallah', 'bur kar', 'kapa siz']"
"['harika', 'aysel']","['harika aysel', 'harika', 'aysel']"
"['tema', 'özellik', 'getir', 'sevin', 'anlayış', 'teşekkür', 'paycellcüzdanödemekart']","['teşekkür paycellcüzdanödemekart', 'anlayış teşekkür', 'teşekkür', 'tema özellik', 'sevin anlayış']"
"['aycell', 'hesapima', 'gir', 'şifre', 'sure', 'geçmiş', 'herşey', 'sure', 'geçmiş']","['gir şifre', 'şifre sure', 'şifre', 'geçmiş herşey', 'sure geçmiş']"
['iyi'],['iyi']
"['aycell', 'salla', 'topla', 'kazan', 'puan', 'telefon', 'böyle', 'mesaj', 'kimbirgbister', 'tebrik', 'aycell', 'kazan', 'freebyte', 'hat', 'tanımla', 'yükle', 'hemen', 'tıkla', 'aycell', 'puan', 'kazan', 'ister', 'bak', 'puan', 'puan', 'düzel', 'rica', 'ayrıca', 'eski', 'arayüz', 'aycell', 'güzel', 'fazla', 'i̇nternet', 'var', 'i̇nternet', 'kazan', 'fazla', 'i̇nternet', 'ekle', 'eskisigibi']","['telefon böyle', 'puan telefon', 'telefon', 'mesaj', 'böyle mesaj']"
['süper'],['süper']
['iyi'],['iyi']
"['veli', 'onay', 'dur', 'kar', 'onay', 'kadim', 'hala', 'aynı', 'hata', 'ara', 'iste', 'sorun', 'yok', 'yine', 'devam', 'yazık', 'izlerlemi', 'uğraş', 'sistem', 'türlü', 'düzel', 'söyle', 'insan', 'boş', 'yer', 'oyala']","['hata ara', 'izlerlemi uğraş', 'devam yazık', 'kadim hala', 'yazık izlerlemi']"
"['lütfen', 'yardımcı', 'hesap', 'para', 'transfer', 'hesap', 'dur', 'dur', 'don', 'lütfen', 'yardımcı']","['transfer hesap', 'hesap para', 'yardımcı hesap', 'para transfer', 'hesap']"
['iyi'],['iyi']
['güzel'],['güzel']
"['yeni', 'dene']","['yeni dene', 'yeni', 'dene']"
['guzelguzel'],['guzelguzel']
['puan'],['puan']
"['maalesef', 'topla', 'kazan', 'puan', 'devam', 'haftaarasıra', 'i̇nternet', 'yüksek', 'puan', 'bekle', 'saygı', 'iyi', 'çalış']","['puan bekle', 'yüksek puan', 'puan devam', 'kazan puan', 'devam haftaarasıra']"
"['iyi', 'para']","['iyi para', 'iyi', 'para']"
"['kadar', 'lanet', 'sistem', 'sakın', 'kullan', 'adam', 'soy']","['kadar lanet', 'sakın kullan', 'kullan adam', 'sakın', 'adam soy']"
"['üst', 'görün', 'yıldız', 'epeydir', 'kimlik', 'doğrula', 'son', 'adım', 'yüz', 'tanımla', 'aşama', 'türlü', 'işlem', 'dar', 'başla', 'acilen', 'düzel', 'sevin', 'aksi', 'hal', 'hat', 'değiş']","['yıldız epeydir', 'görün yıldız', 'yıldız', 'epeydir kimlik', 'yüz tanımla']"
"['allah', 'bela', 'para', 'hepsi']","['para hepsi', 'hepsi', 'allah', 'allah bela', 'para']"
"['aycell', 'mükemmel', 'merak', 'uzun', 'yıl', 'kullan', 'rağmen', 'limit', 'hala', 'aynı', 'yukselmıyor']","['merak uzun', 'rağmen limit', 'uzun yıl', 'aynı yukselmıyor', 'kullan rağmen']"
"['rezalet', 'çalış', 'gunceledim', 'hay', 'bin', 'puan', 'üst', 'çalış', 'yardım', 'paycel', 'ara']","['çalış gunceledim', 'üst çalış', 'puan üst', 'gunceledim', 'rezalet çalış']"
"['böyle', 'saçma', 'yok', 'zaman', 'otomatik']","['zaman otomatik', 'yok zaman', 'zaman', 'saçma yok', 'otomatik']"
"['merhaba', 'şaka']","['merhaba şaka', 'şaka', 'merhaba']"
"['iyi', 'iman', 'sev', 'kredi', 'iyi']","['iyi iman', 'iman sev', 'iman', 'kredi iyi', 'sev kredi']"
['kullan'],['kullan']
"['aycell', 'kullan', 'kullan', 'verim', 'alacak', 'san']","['alacak san', 'alacak', 'verim alacak', 'kullan', 'kullan verim']"
"['gerçekten', 'berbat', 'şifre', 'süre', 'dol', 'yönlen', 'bile', 'muhatap', 'kimse', 'yok', 'beğen']","['berbat şifre', 'muhatap kimse', 'kimse yok', 'şifre süre', 'kimse']"
"['lütfen', 'havale', 'sistem', 'dekont', 'getir']","['havale sistem', 'lütfen havale', 'dekont getir', 'havale', 'lütfen']"
"['iyi', 'aycell', 'tebrik']","['aycell tebrik', 'tebrik', 'iyi aycell', 'iyi', 'aycell']"
"['kampanya', 'güzel', 'arayüz', 'biraz', 'estetik', 'mod', 'lazım', 'fizik', 'kart', 'isim', 'yaz', 'fazla', 'renk', 'seçenek']","['renk seçenek', 'biraz estetik', 'fazla renk', 'estetik mod', 'estetik']"
"['kuşan', 'sev']","['kuşan sev', 'kuşan', 'sev']"
['mükemmel'],['mükemmel']
"['aycell', 'yükle', 'indiliryor', 'görün']","['yükle indiliryor', 'indiliryor görün', 'indiliryor', 'görün', 'aycell yükle']"
['harika'],['harika']
"['beş', 'para', 'kimlik', 'doğrula', 'özellik', 'koy', 'bile', 'madem', 'koy', 'koy', 'düzgün', 'geçir', 'güzel', 'geçir', 'kıvır', 'başla']","['beş para', 'özellik koy', 'beş', 'kimlik doğrula', 'para kimlik']"
"['iyi', 'nbc', 'özellik', 'kalk', 'telefon', 'nbc', 'özellik', 'var']","['telefon nbc', 'iyi nbc', 'telefon', 'nbc özellik', 'özellik var']"
['iyi'],['iyi']
['iyi'],['iyi']
"['lütfen', 'artık', 'kimlik', 'doğrula', 'hata', 'artık', 'yıl', 'kadar', 'umursa', 'para', 'var', 'çek', 'alışveriş', 'hala', 'düzel']","['çek alışveriş', 'alışveriş hala', 'alışveriş', 'kimlik doğrula', 'artık kimlik']"
"['trol', 'kart', 'güzel', 'teşekkür']","['kart güzel', 'trol kart', 'güzel teşekkür', 'teşekkür', 'trol']"
"['trol', 'özellik', 'kart', 'güzel', 'kampanya', 'biraz', 'çeşit']","['trol özellik', 'kart güzel', 'trol', 'güzel kampanya', 'kampanya biraz']"
['iyi'],['iyi']
"['hersek', 'para', 'kesinti', 'kullan', 'hadi', 'kullan', 'inan', 'avantaj']","['inan avantaj', 'kesinti kullan', 'hadi kullan', 'kullan hadi', 'kullan inan']"
['tavsiye'],['tavsiye']
['teşekkür'],['teşekkür']
['güzel'],['güzel']
"['sev', 'kullan']","['sev kullan', 'kullan', 'sev']"
"['hesap', 'çal', 'yardımcı']","['hesap çal', 'hesap', 'yardımcı', 'çal yardımcı', 'çal']"
"['harika', 'bayıl', 'deneme', 'tavsiye']","['deneme tavsiye', 'bayıl deneme', 'tavsiye', 'deneme', 'harika bayıl']"
"['dakika', 'boyunca', 'kimlik', 'doğrula', 'kamera', 'kimlik', 'oku', 'kimlik', 'oku', 'devam', 'şekil', 'onayla']","['kamera kimlik', 'kimlik oku', 'kimlik doğrula', 'oku kimlik', 'doğrula kamera']"
"['puan', 'hediye', 'pah', 'saçma', 'düzel', 'iyi']","['puan hediye', 'saçma düzel', 'hediye pah', 'hediye', 'iyi']"
['teşekkür'],['teşekkür']
"['paycel', 'teknik', 'sorun', 'bit', 'müşteri', 'hizmet', 'hiçbir', 'yanıt', 'teknik', 'sorun', 'konu', 'bildirim', 'şikayet', 'borç', 'öde', 'engelle', 'öneri', 'alın', 'süper', 'işle', 'dekont', 'defa', 'finansal', 'ara', 'yasal', 'öde', 'onay']","['şikayet borç', 'bildirim şikayet', 'öde engelle', 'müşteri hizmet', 'borç öde']"
"['güzel', 'güven', 'teşekkür']","['güven teşekkür', 'güzel güven', 'teşekkür', 'güven', 'güzel']"
"['yükle', 'kes', 'resmen', 'şaka']","['resmen şaka', 'şaka', 'resmen', 'yükle kes', 'kes resmen']"
['iyi'],['iyi']
['güzel'],['güzel']
"['kimlik', 'kart', 'oku', 'alaka', 'düzel', 'lütfen']","['kimlik kart', 'kart oku', 'kimlik', 'lütfen', 'düzel lütfen']"
['güzel'],['güzel']
"['turkcell', 'memnun']","['turkcell memnun', 'turkcell', 'memnun']"
"['iyi', 'kart']","['iyi kart', 'iyi', 'kart']"
['süper'],['süper']
"['para', 'gönder', 'işlem', 'tekrar', 'güzel']","['para gönder', 'tekrar güzel', 'gönder işlem', 'güzel', 'işlem tekrar']"
"['cook', 'iyi']","['cook iyi', 'cook', 'iyi']"
['güzel'],['güzel']
"['kimlik', 'doğrula', 'hata', 'yardımcı', 'teşekkür']","['kimlik doğrula', 'hata yardımcı', 'yardımcı teşekkür', 'kimlik', 'teşekkür']"
"['memnun', 'şimdilik', 'öğren']","['memnun şimdilik', 'şimdilik öğren', 'memnun', 'öğren', 'şimdilik']"
"['paysell', 'gir', 'şifre', 'yenile', 'onay', 'kod', 'lazım']","['şifre yenile', 'gir şifre', 'onay kod', 'şifre', 'yenile onay']"
"['veli', 'beyan', 'seçenek', 'gözük']","['seçenek gözük', 'beyan seçenek', 'seçenek', 'veli beyan', 'veli']"
"['iyi', 'güzel', 'ilgilen', 'gayet', 'güzel', 'bak', 'müthiş', 'bak', 'nice', 'lewis', 'dünya', 'iyi', 'derece', 'müthiş', 'oyun', 'güzel', 'iyi', 'oyun', 'var', 'aycell', 'bak', 'hediye', 'kod', 'resmi', 'yeni', 'oyun', 'sene', 'görüş', 'spor', 'oyun', 'gene', 'yenice', 'görüş', 'spor', 'oyun', 'kimse', 'counter', 'strike', 'yen', 'var', 'büyük', 'iddia', 'oyun', 'iyi']","['oyun güzel', 'oyun sene', 'müthiş oyun', 'iyi oyun', 'oyun iyi']"
['super'],['super']
"['güzel', 'i̇nternet', 'stok', 'artır', 'tavsiye', 'ayrıca', 'kazan', 'kazan', 'migros', 'hediye', 'hediye', 'ilk', 'kazan', 'kazan', 'gine']","['hediye ilk', 'ayrıca kazan', 'hediye hediye', 'hediye', 'kazan migros']"
['beğen'],['beğen']
['iyi'],['iyi']
['güzel'],['güzel']
"['aycell', 'yetkili', 'bağla', 'iste', 'kimse', 'tavsiye', 'aycell', 'bimer', 'şikayet', 'bulun']","['şikayet bulun', 'bimer şikayet', 'şikayet', 'tavsiye aycell', 'yetkili bağla']"
"['kendi', 'kendi', 'rastgele']","['kendi rastgele', 'rastgele', 'kendi kendi', 'kendi']"
['memnun'],['memnun']
['mükemmel'],['mükemmel']
"['teşekkür', 'ilgilen']","['teşekkür ilgilen', 'teşekkür', 'ilgilen']"
['iyi'],['iyi']
"['kampanya', 'güzel']","['kampanya güzel', 'kampanya', 'güzel']"
"['kesinlikle', 'tavsiye']","['kesinlikle tavsiye', 'tavsiye', 'kesinlikle']"
"['güzel', 'herkes', 'tavsiye']","['herkes tavsiye', 'güzel herkes', 'güzel', 'tavsiye', 'herkes']"
['cokguzel'],['cokguzel']
['iyi'],['iyi']
"['mobil', 'öde', 'çalış']","['mobil öde', 'öde çalış', 'çalış', 'mobil', 'öde']"
['harika'],['harika']
['harika'],['harika']
"['gerçekten', 'sev', 'kullan', 'sürekli', 'kendi', 'kendi', 'açılıyorkapatıyorum', 'pencere', 'tekrar', 'açılıyorgerçektende', 'bil', 'telefon', 'kullanım', 'özgür', 'alın', 'artıksildim', 'daha', 'kullan', 'artık']","['kendi açılıyorkapatıyorum', 'açılıyorkapatıyorum pencere', 'kullan sürekli', 'tekrar açılıyorgerçektende', 'telefon kullanım']"
"['aysel', 'yetkili', 'servis', 'teşekkür', 'biraz', 'uzun', 'sür', 'sonunda', 'hallet', 'teşekkür', 'emek', 'geçen', 'herkes']","['servis teşekkür', 'hallet teşekkür', 'teşekkür', 'teşekkür biraz', 'teşekkür emek']"
"['stok', 'ürün', 'bit', 'lütfen', 'düzel', 'iyi', 'gün']","['lütfen düzel', 'iyi gün', 'düzel iyi', 'iyi', 'düzel']"
"['aycell', 'puan', 'aycell', 'fark', 'lira', 'dijital', 'bakiye', 'yükle', 'harika']","['dijital bakiye', 'yükle harika', 'lira dijital', 'dijital', 'harika']"
"['güzel', 'kullan', 'memnun']","['güzel kullan', 'kullan memnun', 'güzel', 'memnun', 'kullan']"
"['paycel', 'üye', 'iptal', 'yardımcı']","['üye iptal', 'iptal yardımcı', 'iptal', 'paycel üye', 'üye']"
"['teşekkür', 'paysell']","['teşekkür paysell', 'paysell', 'teşekkür']"
"['iyi', 'aksam', 'aycell', 'tırıs', 'don', 'ılgılenırsenız', 'sıvın']","['ılgılenırsenız sıvın', 'sıvın', 'iyi aksam', 'aycell tırıs', 'iyi']"
['harikaaaa'],['harikaaaa']
"['almanya', 'hesap', 'para', 'gönder', 'kullan', 'memnun', 'kullan', 'devam', 'fiyat', 'iyi', 'teşekkür', 'aycell']","['para gönder', 'hesap para', 'iyi teşekkür', 'teşekkür', 'kullan memnun']"
"['para', 'transfer', 'hız', 'gerçek', 'turkcell', 'güvenilir', 'birleş', 'sorun', 'işlem', 'teşekkür']","['transfer hız', 'turkcell güvenilir', 'para transfer', 'gerçek turkcell', 'turkcell']"
['iyi'],['iyi']
['güzel'],['güzel']
['güzel'],['güzel']
"['güzel', 'arkadaş', 'davet', 'kampanya', 'var', 'mükemmel']","['güzel arkadaş', 'arkadaş davet', 'güzel', 'davet kampanya', 'arkadaş']"
"['güzel', 'güzel', 'kampanya', 'var', 'evet', 'kampanya', 'yan', 'kendi', 'tam', 'yer', 'komisyon', 'alın', 'ince', 'hoş', 'para', 'gönder', 'sefer', 'komisyon', 'kullan', 'kazan']","['güzel kampanya', 'kampanya var', 'kampanya yan', 'evet kampanya', 'kampanya']"
"['iyi', 'inşallah', 'sağlık']","['inşallah sağlık', 'iyi inşallah', 'iyi', 'sağlık', 'inşallah']"
['güzel'],['güzel']
"['güzel', 'sağlık']","['güzel sağlık', 'sağlık', 'güzel']"
"['doğrula', 'kod', 'şifre', 'yenile']","['şifre yenile', 'kod şifre', 'şifre', 'doğrula kod', 'kod']"
['çalış'],['çalış']
"['güzel', 'beğendi']","['güzel beğendi', 'beğendi', 'güzel']"
['mükemmel'],['mükemmel']
"['salla', 'kazan', 'puan', 'gir', 'bak', 'puan', 'gözük', 'kaç', 'yıl', 'düzel', 'zaman', 'düzel']","['yıl düzel', 'düzel zaman', 'kaç yıl', 'zaman düzel', 'puan gözük']"
['ağız'],['ağız']
"['aşırı', 'derece', 'memnun', 'tavsiye']","['memnun tavsiye', 'tavsiye', 'memnun', 'derece memnun', 'aşırı derece']"
['güzel'],['güzel']
['iyi'],['iyi']
['güzel'],['güzel']
"['çök', 'özel', 'mükemmel', 'siz', 'tavsiye']","['siz tavsiye', 'mükemmel siz', 'siz', 'mükemmel', 'çök özel']"
['kazan'],['kazan']
['iyi'],['iyi']
['güzel'],['güzel']
"['güzel', 'salla', 'kazan', 'puan']","['kazan puan', 'güzel', 'güzel salla', 'puan', 'kazan']"
"['harika', 'sadece', 'alışveriş', 'değil', 'hediye', 'cazip', 'fırsat', 'sun']","['hediye cazip', 'hediye', 'sadece alışveriş', 'harika sadece', 'cazip fırsat']"
['mükemmel'],['mükemmel']
"['şimdilik', 'iyi']","['şimdilik iyi', 'iyi', 'şimdilik']"
"['android', 'aşağı', 'robot', 'cihaz', 'calismiyor', 'lütfen', 'düzel', 'benimki', 'android', 'geçen', 'kadar', 'çalış', 'sacmalik']","['benimki android', 'android geçen', 'android', 'robot cihaz', 'android aşağı']"
['süper'],['süper']
['mükemmel'],['mükemmel']
['mükemmel'],['mükemmel']
['süper'],['süper']
"['aysel', 'cüzdan', 'memnun']","['cüzdan memnun', 'aysel cüzdan', 'cüzdan', 'memnun', 'aysel']"
"['genel', 'iyi', 'kart', 'aktif', 'seçenek', 'tıkla', 'kapa', 'temas', 'aycell', 'kart', 'aktif', 'yardımcı']","['kart aktif', 'iyi kart', 'aktif seçenek', 'seçenek tıkla', 'aycell kart']"
"['gayet', 'güzel', 'kalite']","['güzel kalite', 'kalite', 'gayet güzel', 'güzel', 'gayet']"
"['güzel', 'cidden', 'saygı']","['cidden saygı', 'saygı', 'güzel cidden', 'güzel', 'cidden']"
"['harika', 'dijital', 'kart', 'iyianinda', 'yani', 'teşekkür']","['dijital kart', 'kart iyianinda', 'harika dijital', 'dijital', 'teşekkür']"
"['cidden', 'güzel', 'turkcell', 'iyi', 'kampanya', 'insan', 'para', 'harca']","['iyi kampanya', 'insan para', 'kampanya insan', 'güzel turkcell', 'turkcell iyi']"
"['roos', 'telefon', 'kullan', 'sorumluluk', 'ait', 'sen', 'roos', 'engelle', 'ilk', 'çık', 'gün', 'beri', 'kullan', 'aycell', 'kullan', 'bit']","['telefon kullan', 'telefon', 'roos telefon', 'beri kullan', 'engelle ilk']"
['süper'],['süper']
"['güzel', 'program']","['güzel program', 'program', 'güzel']"
